Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,104.48,147.09,6.26,37.53,43.78,13.75,12.88,0.88,48.63,7.99,,,,,,12.79,,1.34,99.92,0.0,0.0,,734.65,
2024-01-02,90.43,120.83,6.81,33.53,40.35,12.57,10.49,0.92,28.4,10.93,,,,,,10.41,,1.29,85.06,0.0,0.0,,734.18,
2024-01-03,109.31,154.65,8.01,43.81,51.81,16.25,11.98,0.92,41.88,12.15,,,,,,11.95,,1.32,96.14,0.0,0.0,,733.82,
2024-01-04,120.73,168.4,14.52,57.52,72.04,22.29,13.56,1.41,25.11,20.15,,,,,,10.18,,1.31,113.55,0.0,0.0,,734.38,
2024-01-05,91.67,124.17,10.64,43.57,54.21,17.4,13.41,1.08,30.94,13.62,,,,,,10.14,,1.22,110.62,0.0,0.0,,734.5,
2024-01-06,110.99,160.14,18.82,54.7,73.51,23.05,14.63,1.01,40.41,8.77,,,,,,11.92,,1.19,116.95,0.0,0.0,,735.56,
2024-01-07,103.56,141.38,8.39,31.71,40.09,13.68,15.75,0.75,46.12,6.17,,,,,,12.59,,1.3,100.41,0.0,0.0,,735.94,
2024-01-08,114.97,153.12,9.21,38.04,47.25,16.72,13.94,0.9,42.87,7.14,,,,,,12.4,,1.42,74.25,0.0,0.0,,735.82,
2024-01-09,95.47,127.48,14.48,52.02,66.5,22.98,14.84,1.05,25.27,8.52,,,,,,13.78,,1.31,98.14,0.0,0.0,,735.83,
2024-01-10,103.53,151.6,75.81,73.92,149.72,55.31,14.05,2.2,15.48,20.06,,,,,,13.02,,1.16,175.13,0.0,0.0,,735.17,
2024-01-11,100.06,166.92,33.09,65.32,98.41,36.08,12.89,1.4,34.9,10.39,,,,1.76,2.05,15.29,,1.23,156.21,0.0,0.0,,735.39,
2024-01-12,86.26,149.22,37.18,79.48,116.66,43.37,12.59,1.54,37.87,2.45,,,,,,16.37,,1.15,154.74,0.0,0.0,,734.72,
2024-01-13,62.67,173.32,11.53,54.11,65.64,26.82,9.49,0.94,47.06,1.39,,,,,,17.31,,1.26,140.02,0.0,0.0,,733.71,
2024-01-14,79.27,117.56,12.76,47.08,59.83,24.22,7.95,1.1,52.16,4.36,,,,,,17.97,,1.27,133.68,0.0,0.0,,733.77,
2024-01-15,71.96,116.71,6.55,40.17,46.72,18.48,8.49,1.0,55.27,5.89,,,,,,16.74,,1.24,149.8,0.0,0.0,,733.48,
2024-01-16,63.66,102.28,5.66,26.77,32.42,13.89,11.18,0.84,67.72,2.68,,,,,,16.31,,1.43,123.04,0.0,0.0,,731.52,
2024-01-17,77.32,106.79,5.77,14.35,20.12,9.87,13.15,0.92,62.46,5.38,,,,,,15.01,,1.48,84.34,0.0,0.0,,731.32,
2024-01-18,86.55,133.16,12.76,50.09,62.85,40.22,14.51,0.94,43.71,8.49,,,,,,14.66,,1.37,120.97,0.0,0.0,,733.18,
2024-01-19,67.27,107.16,10.14,40.5,50.64,37.2,17.27,0.83,36.31,6.63,,,,,,13.92,,1.43,99.69,0.0,0.0,,734.29,
2024-01-20,95.13,150.6,6.72,48.06,54.77,38.25,19.91,0.97,42.5,9.84,,,,,,11.6,,1.34,119.33,0.0,0.0,,734.93,
2024-01-21,81.72,139.02,18.47,63.27,81.74,47.21,16.2,1.03,38.05,8.38,,,,,,15.27,,1.2,176.06,0.0,0.0,,734.91,
2024-01-22,74.1,108.79,5.27,36.61,41.88,35.06,16.95,0.84,58.84,4.49,,,,,,15.97,,1.29,147.61,0.0,0.0,,735.02,
2024-01-23,71.32,108.74,10.37,48.71,59.08,32.85,14.08,0.93,49.24,8.42,,,,,,15.79,,1.34,155.52,0.0,0.0,,734.45,
2024-01-24,69.28,110.26,9.88,52.86,62.74,25.28,10.83,1.09,42.64,10.83,,,,,,16.22,,1.23,115.16,0.0,0.0,,734.29,
2024-01-25,80.81,120.12,6.06,44.11,50.17,21.63,11.52,1.08,49.24,9.97,,,,,,15.24,,1.47,129.3,0.0,0.0,,736.2,
2024-01-26,82.59,124.28,9.4,44.38,53.79,23.74,10.92,1.09,52.24,9.75,,,,,,16.38,,1.52,139.16,0.0,0.0,,736.98,
2024-01-27,66.81,123.74,23.33,67.19,89.65,36.72,11.97,1.1,42.37,7.9,,,,,,18.28,,1.57,154.62,0.0,0.0,,736.32,
2024-01-28,52.11,102.75,18.49,54.26,71.47,32.02,24.19,0.79,51.97,2.82,,,,,,19.26,,1.39,150.08,0.0,0.0,,734.39,
2024-01-29,75.47,131.23,15.74,50.88,66.64,23.69,19.66,1.03,45.28,5.86,,,,,,19.21,,1.35,148.7,0.0,0.0,,734.16,
2024-01-30,81.11,131.05,11.71,44.83,56.53,20.89,17.36,1.12,33.8,8.51,,,,1.2,5.21,19.32,,1.35,133.05,0.0,0.0,,733.74,
2024-01-31,81.93,117.57,8.26,26.22,34.33,11.26,9.29,0.78,57.48,2.8,,,,0.28,1.35,19.63,,1.62,129.67,0.0,0.0,,732.39,
2024-02-01,91.51,132.92,9.67,27.4,37.07,11.51,8.66,0.9,40.38,4.96,,,,1.32,3.78,19.02,,1.49,149.79,0.0,0.0,,732.54,
2024-02-02,67.14,101.31,8.98,20.35,29.32,14.16,10.6,0.56,46.43,2.73,,,,0.06,0.36,18.24,,1.69,85.73,0.0,0.0,,735.49,
2024-02-03,50.28,98.69,12.32,18.74,31.07,19.08,12.06,0.59,43.46,3.57,,,,1.26,4.74,18.67,,1.53,134.73,0.0,0.0,,734.69,
2024-02-04,54.39,81.16,13.61,18.61,32.22,19.71,10.18,0.66,26.72,1.96,,,,0.43,2.95,17.9,,1.23,156.98,0.15,0.15,,733.75,
2024-02-05,33.36,73.48,10.95,17.92,28.72,19.09,9.73,0.43,36.86,0.84,,,,0.24,1.98,17.77,,1.56,179.77,0.0,0.0,,734.41,
2024-02-06,36.9,75.52,8.18,28.04,36.09,22.4,10.94,0.56,49.11,1.91,,,,0.35,1.84,16.44,,1.64,106.31,0.0,0.0,,735.94,
