Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,120.26,183.94,15.21,112.84,71.06,25.26,11.41,0.79,,2.23,1.31,4.82,,,,17.39,88.15,1.37,177.21,0.0,0.0,43.56,750.43,
2024-01-02,119.17,242.9,18.59,114.51,74.4,27.71,11.11,0.87,,2.43,1.44,5.29,,,,16.96,84.11,1.45,198.54,0.0,0.0,55.57,749.59,
2024-01-03,124.69,233.8,19.81,124.58,82.17,28.24,11.57,1.42,,3.96,2.34,8.64,,,,16.25,89.19,1.48,218.31,0.0,0.0,39.61,749.4,
2024-01-04,136.12,251.05,22.11,129.84,86.83,27.25,10.77,0.79,,2.23,1.31,4.84,,,,16.99,94.15,1.77,126.09,0.0,0.0,29.89,749.73,
2024-01-05,101.67,195.38,18.44,123.71,79.83,28.19,11.86,0.98,,2.73,1.61,5.94,,,,17.75,93.36,1.36,144.54,0.0,0.0,26.56,749.93,
2024-01-06,88.88,222.86,16.89,115.38,68.12,28.35,13.03,1.03,,2.98,1.77,6.49,,,,16.87,88.49,1.46,228.47,0.0,0.0,42.44,751.05,
2024-01-07,,202.02,17.68,124.74,76.86,28.19,12.69,0.86,,2.42,1.43,5.25,,,,15.59,84.93,1.3,169.93,0.0,0.0,53.64,751.94,
2024-01-08,196.21,305.4,19.38,127.21,81.83,28.55,10.74,1.28,,3.6,2.13,7.83,,,,14.97,87.0,0.98,145.36,0.0,0.0,41.85,751.75,
2024-01-09,87.3,166.6,9.57,74.26,40.64,47.66,12.39,0.74,,2.08,1.22,4.51,,,,16.89,90.04,2.3,147.06,0.0,0.0,33.67,751.51,
2024-01-10,88.97,178.32,9.25,75.71,42.78,45.4,4.25,0.9,,2.5,1.48,5.45,,,,16.1,86.66,2.41,139.57,0.0,0.0,56.21,750.32,
2024-01-11,110.15,214.84,12.64,96.16,55.23,41.41,2.98,1.14,,3.17,1.88,6.9,,,,16.22,77.34,1.84,133.99,0.0,0.0,60.61,750.66,
2024-01-12,139.43,191.76,17.49,109.06,69.07,42.42,6.42,1.02,,2.84,1.68,6.18,,,,16.16,78.08,1.5,156.01,0.0,0.0,63.27,749.71,
2024-01-13,319.83,325.05,40.46,148.01,108.05,44.74,6.01,2.57,,7.16,4.22,15.58,,,,14.62,87.41,0.78,240.74,0.0,0.0,44.31,749.03,
2024-01-14,484.38,310.81,51.12,156.35,117.16,43.51,9.94,2.49,,7.07,4.17,15.37,,,,15.66,82.3,1.12,195.83,0.0,0.0,51.0,749.0,
2024-01-15,209.47,207.38,30.19,131.52,89.74,46.78,10.48,1.62,,4.54,2.69,9.87,,,,16.38,76.31,1.26,168.14,0.0,0.0,63.93,748.5,
2024-01-16,105.15,188.72,15.51,72.44,46.22,61.75,3.58,1.09,,3.06,1.8,6.65,,,,14.32,90.26,1.2,264.56,0.0,0.0,44.3,746.96,
2024-01-17,86.51,180.64,8.88,57.7,32.34,57.71,4.34,0.77,,2.16,1.27,4.7,,,,15.18,82.59,1.22,289.51,0.0,0.0,62.35,747.12,
2024-01-18,55.79,115.46,13.8,72.78,45.1,51.52,2.54,0.94,,2.6,1.54,5.68,,,,,,,,,0.0,,749.02,
2024-01-19,235.6,137.63,16.7,90.56,53.56,40.49,4.44,0.82,,2.3,1.36,5.01,,,,,,,,,0.0,,750.67,
