Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,57.73,144.92,59.15,30.27,64.35,12.84,20.74,0.81,34.62,2.67,,,,10.89,26.46,26.78,75.18,0.16,262.01,,0.0,188.73,1012.05,
2024-01-02,63.88,209.17,61.48,30.31,66.78,13.01,20.74,0.8,28.21,2.68,,,,10.28,24.35,26.23,76.55,0.17,263.26,,0.0,180.84,1011.49,
2024-01-03,62.54,183.13,61.56,30.35,66.95,12.97,20.74,0.79,28.19,2.68,,,,10.96,25.17,25.66,77.28,0.16,264.7,,0.0,167.65,1010.73,
2024-01-04,55.95,183.24,63.33,30.38,68.8,13.05,20.73,0.86,34.85,2.72,,,,15.42,32.1,25.4,73.4,0.16,264.18,,0.0,217.33,1011.17,
2024-01-05,44.1,141.97,60.78,30.44,66.39,12.93,20.7,0.82,32.55,2.63,,,,15.64,31.19,24.4,72.6,0.23,258.25,,0.0,154.13,1011.52,
2024-01-06,47.96,149.69,60.04,30.35,65.43,12.92,20.74,0.79,23.88,2.85,,,,19.65,34.56,25.93,73.29,0.16,264.04,,0.0,198.09,1011.47,
2024-01-07,39.76,126.6,60.99,30.31,66.29,12.89,20.74,0.77,32.89,2.63,,,,20.2,36.34,26.59,76.44,0.16,263.7,,0.0,168.24,1011.33,
2024-01-08,39.51,126.5,64.41,30.43,70.01,13.15,20.72,0.76,26.75,2.59,,,,13.97,28.41,28.28,70.4,0.16,255.07,,0.0,170.89,1011.59,
2024-01-09,47.55,146.51,62.33,30.33,67.68,13.02,20.71,0.79,32.07,2.65,,,,21.68,38.58,27.38,77.39,0.17,254.76,,0.0,131.69,1012.03,
2024-01-10,35.32,120.8,61.19,30.39,66.7,12.94,20.71,0.77,25.0,2.63,,,,16.22,33.96,26.84,76.91,0.16,255.21,,0.0,151.21,1012.47,
2024-01-11,45.91,122.35,61.02,30.31,66.32,12.94,20.91,0.82,27.76,2.67,,,,14.36,31.18,28.67,73.81,0.18,256.51,,0.0,258.4,1012.51,
2024-01-12,51.54,158.47,60.83,30.27,66.03,12.94,20.73,0.83,28.29,2.66,,,,14.42,31.04,29.02,71.43,0.17,262.97,,0.0,240.86,1011.88,
2024-01-13,59.59,166.85,59.37,30.36,64.8,12.87,20.73,0.86,34.46,2.73,,,,22.8,44.27,28.25,72.23,0.17,262.56,,0.0,256.73,1012.83,
2024-01-14,26.64,99.48,60.63,30.36,66.04,12.94,20.69,0.61,23.76,2.56,,,,7.36,16.21,28.9,62.25,0.18,267.4,,0.0,282.08,1013.38,
2024-01-15,24.85,113.42,56.51,30.32,61.83,12.7,20.69,0.6,28.0,2.62,,,,4.63,13.23,25.96,64.09,0.29,253.27,,0.0,288.81,1013.27,
2024-01-16,35.69,138.46,55.61,30.28,60.83,12.67,20.77,0.7,29.9,2.58,,,,12.79,27.09,23.67,71.37,0.68,181.95,,0.0,251.86,1011.31,
2024-01-17,44.82,133.88,54.12,30.29,59.37,12.65,20.78,0.77,30.37,2.57,,,,28.2,49.16,23.52,74.13,0.74,174.2,,0.0,239.34,1010.64,
