Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,120.16,168.83,15.58,61.56,45.4,21.63,15.77,1.45,63.08,,,,,,,21.04,74.85,0.66,133.93,0.0,0.0,204.39,704.25,
2024-01-02,104.79,146.3,11.08,44.64,32.75,22.05,11.19,1.35,53.47,,,,,,,19.32,81.8,0.69,117.55,0.0,0.0,202.03,703.78,
2024-01-03,90.14,120.57,8.8,37.63,27.17,21.82,12.35,1.41,49.11,,,,,,,18.58,85.92,0.89,110.07,0.14,0.14,200.14,703.42,
2024-01-04,114.69,161.47,10.44,39.49,29.49,23.96,9.31,1.54,38.37,,,,,,,17.22,89.83,0.96,86.2,0.0,0.0,140.11,703.95,
2024-01-05,110.96,160.04,8.98,40.04,28.6,22.99,12.96,1.5,44.21,,,,,,,16.19,91.07,0.89,95.61,0.0,0.0,119.07,704.32,
2024-01-06,88.81,122.08,9.63,48.94,33.87,19.97,10.2,1.53,43.09,,,,,,,16.27,85.39,0.92,91.98,0.0,0.0,180.61,705.57,
2024-01-07,66.61,93.93,12.86,46.25,35.05,22.68,11.42,1.25,30.89,,,,,,,15.87,91.62,1.2,92.12,0.0,0.0,160.28,705.93,
2024-01-08,94.56,141.99,12.72,51.93,37.97,23.79,16.35,1.64,49.13,,,,,,,19.52,80.74,0.8,118.47,0.0,0.0,218.41,705.7,
2024-01-09,98.26,145.03,8.28,44.38,30.34,22.63,14.8,1.49,54.86,,,,,,,20.39,77.08,1.01,129.58,0.0,0.0,215.26,705.6,
2024-01-10,110.27,166.04,9.27,41.42,29.57,22.58,13.14,1.37,43.8,,,,,,,17.77,87.5,1.01,91.21,0.0,0.0,188.69,705.95,
2024-01-11,64.47,94.08,13.13,46.98,35.67,19.9,11.08,1.33,38.59,,,,,,,18.82,85.36,0.54,95.57,0.0,0.0,212.02,706.32,
2024-01-12,60.45,104.51,11.95,49.53,36.06,19.3,10.13,1.41,50.1,,,,,,,20.83,77.09,0.38,119.43,0.0,0.0,212.11,705.46,
2024-01-13,70.92,125.66,23.68,59.12,50.7,18.33,16.54,1.77,52.17,,,,,,,22.21,67.46,0.61,198.4,0.0,0.0,220.6,704.76,
2024-01-14,90.23,165.46,41.15,71.26,71.36,21.26,12.56,2.0,35.42,,,,,,,20.22,62.92,0.68,265.22,0.0,0.0,238.77,704.47,
2024-01-15,71.24,120.85,19.36,62.83,49.15,23.75,14.25,1.45,46.03,,,,,,,18.83,69.44,0.41,133.25,0.0,0.0,236.27,704.06,
2024-01-16,84.83,155.67,35.78,75.47,69.24,23.76,16.04,2.18,48.09,,,,,,,18.93,68.08,0.4,137.85,0.0,0.0,231.05,702.07,
2024-01-17,100.28,174.81,32.81,79.98,69.21,26.47,13.06,2.06,45.49,,,,,,,19.32,70.2,0.55,183.44,0.0,0.0,226.69,701.34,
2024-01-18,98.98,169.89,19.89,69.43,53.1,25.29,18.33,1.94,50.29,,,,,,,18.79,66.59,0.74,107.36,0.0,0.0,228.49,702.95,
2024-01-19,60.5,104.69,8.41,59.31,38.39,19.66,17.53,1.15,64.57,,,,,,,17.9,58.32,0.9,88.96,0.0,0.0,231.1,703.99,
2024-01-20,79.8,130.64,9.4,55.02,36.91,20.75,11.3,1.34,49.72,,,,,,,17.19,63.01,0.76,93.44,0.0,0.0,220.3,704.58,
2024-01-21,107.27,185.23,20.25,70.89,54.18,19.04,19.98,1.38,49.52,,,,,,,15.9,58.31,0.75,114.12,0.0,0.0,243.08,705.59,
