Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,73.77,150.14,33.15,134.7,99.73,,116.32,2.65,32.67,17.66,,,,,6.64,,,,,,,,,
2024-01-02,83.53,161.93,28.73,158.42,85.88,,141.64,2.55,20.52,9.67,,,,,3.69,,,,,,,,,
2024-01-03,83.0,161.69,27.07,164.75,80.72,,146.25,2.61,20.17,8.13,,,,,3.12,,,,,,,,,
2024-01-04,78.94,146.74,23.56,162.0,69.76,,141.0,2.93,25.58,9.74,,,,,3.71,,,,,,,,,
2024-01-05,62.08,118.8,27.5,151.47,82.06,,133.93,2.63,30.2,7.18,,,,,2.76,,,,,,,,,
2024-01-06,66.97,123.5,22.07,162.77,65.1,,141.23,2.5,9.13,8.47,,,,,3.24,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,69.11,136.63,33.72,140.05,101.46,,119.82,2.92,13.88,,,,,,,,,,,,,,,
2024-01-09,82.78,148.01,19.36,198.55,56.64,,176.63,2.58,4.73,6.14,,,,,2.38,,,,,,,,,
2024-01-10,60.74,114.84,20.05,190.95,58.8,,168.94,2.56,5.17,4.67,,,,,1.84,,,,,,,,,
2024-01-11,70.44,132.02,24.7,166.29,73.25,,145.2,2.9,12.2,8.99,,,,,3.44,,,,,,,,,
2024-01-12,100.43,186.83,30.21,150.39,90.51,,138.94,3.44,14.29,21.68,,,,,8.13,,,,,,,,,
2024-01-13,61.41,115.88,25.08,145.0,74.5,,125.66,2.67,20.8,8.12,,,,,3.11,,,,,,,,,
2024-01-14,27.07,76.43,19.69,143.79,57.68,,127.79,2.59,21.31,3.94,,,,,1.57,,,,,,,,,
2024-01-15,18.05,54.94,16.03,125.93,46.24,,115.12,2.64,26.35,2.56,,,,,1.06,,,,,,,,,
2024-01-16,34.68,71.97,20.92,135.81,61.5,,117.31,2.57,39.44,2.97,,,,,1.21,,,,,,,,,
2024-01-17,30.54,75.13,17.07,155.46,49.3,,132.61,2.46,37.15,2.81,,,,,1.15,,,,,,,,,
2024-01-18,36.93,67.87,14.51,165.93,41.5,,143.07,2.52,32.23,1.96,,,,,0.83,,,,,,,,,
2024-01-19,38.12,72.57,17.28,147.66,50.01,,129.69,2.62,29.66,2.42,,,,,1.0,,,,,,,,,
