Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,30.53,53.02,43.34,12.65,24.8,29.41,29.69,2.09,107.28,0.84,,,,0.16,0.42,27.58,65.02,0.45,189.63,,,,,
2024-01-02,30.01,53.16,26.07,9.35,30.2,20.65,28.76,2.07,108.75,0.86,,,,0.1,0.26,25.74,71.77,0.44,150.81,,,,,
2024-01-03,35.08,59.66,31.48,12.41,23.02,27.27,32.4,2.24,105.98,0.8,,,,0.11,0.23,26.45,69.97,0.5,158.29,,,,,
2024-01-04,34.31,65.17,44.19,13.44,28.11,31.9,37.44,2.15,83.59,0.82,,,,0.12,0.24,27.61,63.88,0.51,139.78,,,,,
2024-01-05,34.64,60.3,28.34,9.77,30.59,21.04,29.51,2.45,88.96,0.99,,,,0.18,0.39,26.19,70.85,0.46,147.87,,,,,
2024-01-06,27.03,49.09,28.16,11.73,32.41,20.6,34.13,2.26,47.54,0.78,,,,0.15,0.27,28.63,62.46,0.48,203.81,,,,,
2024-01-07,15.17,30.95,27.31,8.66,29.82,20.8,34.3,2.11,33.65,0.68,,,,0.06,0.13,27.44,61.03,0.48,205.2,,,,,
2024-01-08,16.82,27.8,28.25,13.18,31.33,20.06,32.86,1.99,25.78,0.64,,,,0.08,0.11,26.08,67.04,0.49,237.5,,,,,
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-13,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-14,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-17,43.61,106.17,49.38,10.87,45.74,18.72,48.95,2.2,49.58,0.64,,,,0.26,0.91,,,,,,,,,
2024-01-18,33.36,104.16,27.95,11.19,32.03,19.97,56.25,2.2,34.03,0.68,,,,0.15,0.35,,,,,,,,,
2024-01-19,30.92,105.94,24.29,10.47,28.85,20.91,57.37,2.05,34.62,0.76,,,,0.14,0.32,,,,,,,,,
2024-01-20,27.21,105.26,26.32,10.03,30.27,20.04,56.62,2.13,35.98,0.56,,,,0.13,0.29,,,,,,,,,
2024-01-21,25.7,99.25,31.85,11.04,32.74,20.69,57.16,2.02,31.06,0.71,,,,0.18,0.47,,,,,,,,,
2024-01-22,22.73,82.06,27.89,10.43,33.25,19.12,57.59,1.98,38.1,0.73,,,,0.14,0.31,,,,,,,,,
2024-01-23,13.26,56.54,26.16,10.74,30.42,19.89,57.49,2.0,40.67,0.33,,,,0.08,0.23,,,,,,,,,
2024-01-24,19.54,68.11,29.73,10.9,34.03,19.11,59.44,1.97,33.96,0.62,,,,0.18,0.45,,,,,,,,,
2024-01-25,26.19,88.48,25.56,9.3,28.59,21.28,67.84,2.09,41.29,0.63,,,,0.13,0.3,,,,,,,,,
2024-01-26,21.59,90.0,24.64,8.45,27.88,20.64,60.68,2.29,40.93,0.59,,,,0.11,0.24,,,,,,,,,
2024-01-27,18.14,73.38,24.95,11.0,26.77,21.51,59.03,2.11,40.96,0.51,,,,0.1,0.33,,,,,,,,,
2024-01-28,23.17,81.1,26.05,12.32,28.46,20.38,60.2,2.23,44.63,0.58,,,,0.1,0.28,,,,,,,,,
2024-01-29,25.2,80.82,30.27,9.05,32.84,20.05,63.13,2.31,44.27,0.61,,,,0.13,0.43,30.75,43.06,1.59,266.19,,,,,
2024-01-30,34.78,99.66,32.63,9.39,34.78,20.08,64.64,2.76,46.03,1.28,,,,0.2,0.5,30.09,42.04,1.61,268.57,,,,,
2024-01-31,22.21,59.96,27.02,9.94,28.67,20.58,61.76,2.19,53.17,0.6,,,,0.11,0.29,29.39,53.99,1.6,270.99,,,,,
2024-02-01,21.2,50.21,26.1,11.46,31.47,19.55,60.66,2.2,59.71,0.5,,,,0.12,0.23,30.11,64.98,0.63,285.97,,,,,
2024-02-02,19.05,47.82,27.13,9.54,29.84,20.82,62.58,2.31,59.7,0.5,,,,0.14,0.38,,,,,,,,,
2024-02-03,21.99,58.58,31.38,9.91,34.15,19.25,65.5,2.5,60.29,0.54,,,,0.14,0.36,,,,,,,,,
2024-02-04,26.24,77.98,29.18,9.17,31.15,19.62,65.58,2.69,,0.88,,,,0.13,0.34,,,,,,,,,
2024-02-05,26.74,69.77,32.26,11.28,35.08,19.2,65.86,2.68,17.97,0.83,,,,0.16,0.49,,,,,,,,,
2024-02-06,20.19,54.73,27.23,9.62,31.15,20.02,65.8,2.47,6.21,0.51,,,,0.12,0.31,,,,,,,,,
2024-02-07,23.81,66.77,27.99,11.86,31.72,20.16,67.57,2.62,21.86,0.74,,,,0.18,0.5,,,,,,,,,
2024-02-08,27.75,73.24,30.34,9.44,33.53,21.22,67.92,2.76,37.34,0.6,,,,0.17,0.36,,,,,,,,,
2024-02-09,25.8,68.41,33.31,8.89,32.2,21.16,58.55,1.83,32.66,0.67,,,,0.16,0.38,,,,,,,,,
2024-02-10,30.53,79.99,31.97,11.21,35.25,20.86,44.96,0.6,25.72,0.76,,,,0.16,0.33,,,,,,,,,
2024-02-11,22.01,53.74,27.06,11.82,30.2,20.29,45.42,0.56,24.26,0.36,,,,0.09,0.21,,,,,,,,,
2024-02-12,26.16,63.54,28.21,10.9,30.85,19.87,46.38,0.62,26.5,0.62,,,,0.12,0.24,,,,,,,,,
2024-02-13,18.66,48.46,23.87,10.13,28.95,20.28,46.61,0.56,22.55,0.44,,,,0.1,0.22,,,,,,,,,
2024-02-14,22.5,56.32,34.33,10.89,35.02,21.02,47.23,0.65,22.47,0.82,,,,0.15,0.35,,,,,,,,,
2024-02-15,19.32,54.42,33.52,9.3,35.64,19.89,47.63,0.67,17.37,0.53,,,,0.17,0.3,,,,,,,,,
2024-02-16,22.59,59.26,31.31,11.19,35.7,19.18,46.62,0.68,19.64,0.68,,,,0.13,0.26,,,,,,,,,
2024-02-17,16.65,38.92,22.56,11.9,28.17,20.23,46.26,0.63,20.5,0.56,,,,0.11,0.22,,,,,,,,,
2024-02-18,23.02,56.97,24.62,11.47,29.38,19.77,46.78,0.65,18.44,0.8,,,,0.17,0.38,,,,,,,,,
2024-02-19,17.24,42.18,26.96,10.93,34.24,20.91,46.9,0.63,23.54,0.63,,,,0.15,0.28,,,,,,,,,
2024-02-20,20.4,47.84,29.43,10.16,32.82,20.74,47.14,0.66,23.76,0.52,,,,0.15,0.45,,,,,,,,,
2024-02-21,18.41,38.66,21.93,10.26,29.21,19.51,46.95,0.66,18.49,0.67,,,,0.2,0.52,,,,,,,,,
2024-02-22,12.83,28.46,33.18,9.12,34.82,19.65,47.24,0.63,21.31,0.41,,,,0.11,0.25,32.43,81.94,0.9,155.77,,,,,
2024-02-23,18.3,43.54,25.06,10.28,28.03,20.26,47.79,0.69,22.9,0.51,,,,0.16,0.38,27.01,83.12,0.8,207.37,,,,,
2024-02-24,15.41,32.39,26.62,10.4,29.77,19.67,47.83,0.7,25.38,0.42,,,,0.12,0.25,28.39,86.28,0.84,195.68,,,,,
2024-02-25,13.34,40.74,25.21,11.33,30.29,20.38,47.62,0.71,22.49,0.51,,,,0.1,0.23,28.03,82.13,0.83,166.98,,,,,
2024-02-26,20.55,49.46,30.24,11.28,33.25,20.65,47.69,0.81,21.41,0.46,,,,0.08,0.14,30.23,83.96,0.91,157.47,,,,,
