Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,21.95,60.06,7.01,18.65,22.7,9.32,7.31,0.47,18.52,0.65,2.02,,,0.96,0.55,,61.4,0.05,171.73,0.0,0.0,118.67,,
2024-01-02,28.26,64.7,6.94,19.06,23.04,9.2,6.94,0.47,19.18,0.65,2.02,,,0.86,0.52,,66.26,0.05,159.7,0.0,0.0,99.98,,
2024-01-03,27.2,67.64,6.84,19.79,23.67,9.18,9.04,0.47,20.33,0.63,1.95,,,1.23,0.51,,63.27,0.05,186.07,0.0,0.0,106.72,,
2024-01-04,33.42,72.77,7.26,19.01,23.31,9.16,6.21,0.47,18.19,0.65,2.01,,,1.02,0.46,,63.23,0.05,192.75,0.0,0.0,101.85,,
2024-01-05,34.01,80.03,7.13,18.77,22.94,9.27,5.65,0.42,20.1,0.64,2.09,,,0.88,0.42,,56.18,0.05,196.76,0.0,0.0,109.84,,
2024-01-06,19.35,57.39,7.48,18.32,22.84,9.32,8.0,0.35,17.55,0.65,1.99,,,0.87,0.45,,58.55,0.04,185.45,0.0,0.0,118.47,,
2024-01-07,20.72,57.73,7.19,18.72,22.96,9.26,7.21,12.68,16.09,0.64,1.98,,,0.78,0.46,,62.05,0.04,170.88,0.0,0.0,101.16,,
2024-01-08,21.28,58.66,7.19,19.69,23.92,9.1,8.37,0.5,16.05,0.64,1.99,,,0.88,0.48,,59.13,0.05,178.17,0.0,0.0,97.47,,
2024-01-09,21.54,59.1,7.34,19.84,24.22,9.09,9.47,0.5,17.25,0.63,1.96,,,0.92,0.49,,59.49,0.05,163.6,0.0,0.0,74.56,,
2024-01-10,22.39,57.96,7.88,20.74,25.66,9.05,10.03,0.56,14.66,0.65,2.01,,,1.15,0.54,,58.41,0.05,167.84,0.0,0.0,70.63,,
2024-01-11,21.88,59.39,8.32,21.27,26.62,8.88,9.94,0.61,15.97,0.68,2.06,,,1.42,0.61,,50.37,0.06,168.79,0.0,0.0,112.66,,
2024-01-12,23.11,59.92,7.87,20.59,25.5,8.98,11.24,0.6,18.31,0.61,1.84,,,1.42,0.55,,56.16,0.06,154.03,0.0,0.0,105.39,,
2024-01-13,23.96,59.74,6.88,19.34,23.25,9.25,10.49,0.6,20.15,0.64,2.01,,,0.88,0.53,,58.41,0.05,170.07,0.0,0.0,103.2,,
2024-01-14,19.23,59.33,6.56,18.14,21.74,9.27,8.49,0.42,14.74,,,,,,,,66.09,0.08,179.71,0.0,0.0,70.26,,
2024-01-15,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-16,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-17,34.96,84.61,6.97,15.61,19.62,8.37,7.51,0.47,16.71,0.57,1.8,,,1.17,0.54,,48.72,0.04,157.54,0.0,0.0,30.13,,
2024-01-18,24.05,63.82,7.05,17.37,21.46,9.37,6.86,0.31,16.24,0.63,2.01,,,0.79,0.52,,51.75,0.05,169.96,0.0,0.0,99.31,,
2024-01-19,21.06,59.79,8.8,19.71,25.55,9.0,7.02,0.5,11.41,0.65,2.05,,,1.08,0.55,,57.5,0.04,140.51,0.0,0.0,99.44,,
2024-01-20,29.16,73.41,7.96,17.64,22.65,9.26,8.7,0.4,10.64,0.64,2.04,,,1.03,0.51,,59.26,0.05,143.95,0.0,0.0,104.61,,
2024-01-21,14.57,62.51,7.9,17.18,22.12,9.25,10.47,0.37,12.18,0.65,2.05,,,1.01,0.58,,58.26,0.04,161.12,0.0,0.0,110.26,,
2024-01-22,19.68,67.23,7.5,16.8,21.34,9.42,8.4,0.35,12.16,0.64,2.06,,,0.95,0.53,,61.85,0.04,132.3,0.0,0.0,106.85,,
2024-01-23,22.5,66.78,6.98,16.08,20.1,9.5,14.88,0.39,14.49,0.63,2.01,,,0.87,0.48,,57.38,0.05,182.46,0.0,0.0,115.45,,
2024-01-24,21.9,67.47,7.72,17.36,22.12,9.35,23.07,0.43,13.59,0.64,2.01,,,0.75,0.52,,60.57,0.14,139.22,0.0,0.0,90.87,,
2024-01-25,40.25,86.71,7.56,23.54,28.14,8.61,29.74,0.46,20.7,0.59,2.97,,,0.89,0.45,,57.09,0.1,88.03,0.0,0.0,106.31,,
2024-01-26,17.66,65.14,7.13,18.76,22.93,9.21,19.53,0.46,17.24,0.59,2.95,,,0.89,0.45,,55.92,0.03,100.34,0.0,0.0,106.63,,
2024-01-27,38.38,94.29,7.52,17.32,21.88,8.69,12.61,0.45,12.42,0.62,2.4,,,0.98,0.42,,64.39,0.05,123.91,0.0,0.0,52.86,,
2024-01-28,16.07,62.46,7.54,19.39,23.97,9.13,16.05,0.44,14.75,0.68,2.04,,,0.86,0.52,,53.84,0.05,150.39,0.0,0.0,120.69,,
2024-01-29,25.76,72.67,7.27,19.05,23.36,9.15,16.63,0.5,16.23,0.64,2.06,,,0.91,0.53,,56.9,0.05,161.27,0.0,0.0,111.61,,
2024-01-30,16.14,61.9,8.18,20.25,25.47,9.02,18.12,0.51,15.73,0.64,2.01,,,0.98,0.54,,50.94,0.05,162.9,0.0,0.0,116.64,,
2024-01-31,22.69,67.9,7.75,19.24,24.03,9.21,16.26,0.43,16.08,0.65,2.05,,,0.99,0.5,,45.63,0.05,177.52,0.0,0.0,119.86,,
2024-02-01,19.92,65.87,7.93,19.49,24.46,9.08,17.04,0.46,13.29,0.66,2.06,,,1.21,0.5,,50.27,0.05,172.98,0.0,0.0,112.88,,
2024-02-02,16.76,69.24,7.78,18.5,23.33,9.21,17.51,0.44,11.53,0.65,2.05,,,1.09,0.52,,60.77,0.04,164.83,0.0,0.0,92.53,,
2024-02-03,16.86,60.37,7.83,18.01,22.89,9.25,16.78,0.42,11.02,0.65,1.99,,,0.94,0.52,,64.87,0.04,91.17,0.0,0.0,107.02,,
2024-02-04,16.75,61.42,8.03,19.69,24.75,9.0,17.96,0.46,13.47,0.71,2.01,,,0.99,0.56,,58.44,0.05,149.24,0.0,0.0,110.12,,
2024-02-05,25.07,69.73,7.46,19.25,23.75,9.21,13.33,0.48,14.38,0.65,2.02,,,0.99,0.49,,55.43,0.05,173.11,0.0,0.0,111.92,,
2024-02-06,18.74,62.19,8.15,19.74,24.92,9.03,15.94,0.53,12.35,0.62,1.83,,,0.99,0.64,,54.31,0.05,138.34,0.0,0.0,113.26,,
2024-02-07,17.95,62.61,9.13,21.9,28.07,8.73,16.96,0.61,15.21,0.56,1.57,,,1.25,0.88,,49.11,0.06,164.22,0.0,0.0,107.71,,
2024-02-08,23.82,67.64,7.85,20.46,25.35,9.09,18.56,0.53,19.04,0.62,1.82,,,1.25,0.65,,50.83,0.05,112.58,0.0,0.0,105.19,,
2024-02-09,16.57,61.54,6.84,18.27,22.14,9.3,23.43,0.39,17.64,0.66,1.98,,,0.84,0.48,,49.67,0.04,96.15,0.0,0.0,122.57,,
2024-02-10,18.52,60.76,7.42,17.15,21.6,9.4,17.3,0.38,12.63,0.65,1.97,,,0.82,0.48,,62.89,0.05,162.87,0.0,0.0,98.66,,
2024-02-11,16.23,60.22,7.41,16.41,20.86,9.48,16.79,0.37,14.78,0.64,1.97,,,0.69,0.48,,61.14,0.04,162.96,0.0,0.0,113.48,,
2024-02-12,20.01,63.44,7.02,17.24,21.31,9.47,10.74,0.37,16.81,0.63,1.95,,,0.73,0.45,,54.47,0.05,186.18,0.0,0.0,125.2,,
2024-02-13,15.7,59.79,7.29,17.25,21.58,9.33,9.63,0.34,13.46,0.64,1.99,,,0.83,0.45,,51.2,0.05,174.99,0.0,0.0,127.54,,
2024-02-14,22.43,69.0,7.72,16.96,21.73,9.4,10.75,0.36,12.04,0.64,2.0,,,0.82,0.44,,53.14,0.05,162.31,0.0,0.0,124.81,,
2024-02-15,16.24,58.61,8.11,17.6,22.75,9.25,11.29,0.39,11.19,0.66,2.01,,,0.95,0.51,,51.48,0.04,137.01,0.0,0.0,126.68,,
2024-02-16,16.86,61.88,7.6,18.54,23.19,9.24,8.0,0.34,15.07,0.64,2.06,,,0.9,0.49,,35.34,0.05,158.68,0.0,0.0,142.41,,
2024-02-17,14.32,58.79,7.7,19.07,23.8,9.15,11.3,0.41,16.36,0.65,2.15,,,1.07,0.51,,31.7,0.06,171.25,0.0,0.0,146.09,,
2024-02-18,13.81,59.29,8.12,19.61,24.77,9.08,12.23,0.42,15.54,0.64,2.24,,,0.98,0.51,,32.81,0.05,168.28,0.0,0.0,139.12,,
2024-02-19,18.74,63.98,8.11,18.54,23.69,9.16,10.27,0.4,14.48,0.73,2.15,,,0.85,0.83,,40.67,0.05,151.83,0.0,0.0,130.1,,
2024-02-20,21.44,68.59,7.73,19.09,23.86,9.16,15.47,0.47,15.58,0.77,2.0,,,0.96,1.09,,41.5,0.04,150.46,0.0,0.0,124.39,,
2024-02-21,17.58,61.14,7.57,20.11,24.71,9.06,12.91,0.51,15.64,0.77,2.0,,,0.96,1.09,,39.29,0.05,151.26,0.0,0.0,117.9,,
2024-02-22,20.57,68.1,9.99,21.95,28.98,8.76,13.87,0.51,14.0,0.84,1.99,,,0.81,0.67,,39.32,0.05,113.27,0.0,0.0,131.32,,
2024-02-23,17.31,62.92,8.07,20.57,25.68,8.98,15.65,0.56,14.81,0.89,2.0,,,0.72,0.42,,43.68,0.04,109.78,0.0,0.0,122.43,,
2024-02-24,18.2,64.57,6.85,17.32,21.22,9.42,9.93,0.56,10.45,0.89,2.0,,,0.72,0.42,,61.95,0.05,158.11,0.0,0.0,78.01,,
2024-02-25,16.57,59.8,6.89,15.21,19.14,9.59,7.36,0.56,10.75,0.89,2.0,,,0.72,0.42,,59.73,0.05,188.82,0.0,0.0,98.73,,
2024-02-26,21.08,66.73,7.56,15.59,20.18,9.51,10.96,0.49,8.99,0.76,1.77,,,1.06,0.76,,59.78,0.05,179.13,0.0,0.0,110.48,,
2024-02-27,14.77,60.08,7.57,15.59,20.2,9.58,10.44,0.35,9.81,0.78,1.35,,,1.01,1.03,,54.85,0.04,157.08,0.0,0.0,137.64,,
2024-02-28,19.75,66.19,8.69,18.86,24.59,9.06,11.73,0.5,9.38,0.98,1.07,,,0.55,0.99,,48.85,0.04,124.96,0.0,0.0,126.25,,
2024-02-29,16.04,63.75,7.67,18.62,23.33,9.23,10.99,0.53,12.99,0.83,1.42,,,0.93,1.08,,42.64,0.05,166.77,0.0,0.0,118.19,,
2024-03-01,20.96,65.53,7.41,17.71,22.16,9.36,9.44,0.66,14.89,0.58,1.99,,,1.55,1.21,,37.67,0.05,175.1,0.0,0.0,124.13,,
2024-03-02,14.5,60.79,6.69,16.29,20.02,9.5,11.17,0.34,16.5,0.58,1.98,,,1.55,1.21,,32.88,0.05,186.55,0.0,0.0,127.73,,
2024-03-03,16.92,62.18,6.75,17.17,20.96,9.45,12.84,0.39,17.46,0.58,1.99,,,1.55,1.21,,41.92,0.04,141.78,0.0,0.0,121.14,,
2024-03-04,19.3,65.6,6.82,17.11,20.97,9.42,13.78,0.4,13.59,0.47,2.29,,,1.13,0.89,,46.22,0.04,125.49,0.0,0.0,106.9,,
2024-03-05,17.59,61.85,7.82,18.79,23.65,9.2,11.87,0.47,12.48,0.35,2.62,,,0.69,0.55,,47.03,0.04,96.21,0.0,0.0,112.64,,
2024-03-06,17.93,63.9,7.23,17.44,21.71,12.14,10.16,0.59,14.65,0.35,2.64,,,0.69,0.55,,39.42,0.04,165.08,0.0,0.0,117.53,,
2024-03-07,17.12,64.84,8.08,20.89,26.01,17.75,14.19,0.51,16.48,0.73,2.14,,,0.92,0.75,,45.11,0.04,121.87,0.0,0.0,114.86,,
2024-03-08,16.7,65.34,7.62,20.77,25.43,17.49,17.14,0.49,15.15,0.95,1.85,,,1.06,0.87,,45.82,0.05,139.67,0.0,0.0,106.84,,
2024-03-09,15.58,62.42,7.5,19.12,23.66,17.75,14.18,0.45,13.3,0.95,1.85,,,1.06,0.87,,47.81,0.05,148.27,0.0,0.0,101.72,,
2024-03-10,14.56,62.91,7.59,16.29,20.92,18.07,11.28,0.34,8.67,0.95,1.85,,,1.06,0.88,,55.0,0.04,148.9,0.0,0.0,105.53,,
2024-03-11,13.73,60.73,7.52,17.62,22.17,15.87,12.45,0.36,10.51,0.95,1.84,,,1.06,0.87,,44.97,0.05,160.64,0.0,0.0,87.04,,
2024-03-12,20.81,69.79,7.24,18.09,22.37,15.96,11.34,0.44,14.31,0.95,1.86,,,1.06,0.87,,46.06,0.05,181.3,0.0,0.0,105.77,,
2024-03-13,22.63,74.15,7.41,18.06,22.52,15.88,13.17,0.44,17.69,0.7,1.42,,,0.94,1.52,,40.35,0.05,141.11,0.0,0.0,97.71,,
2024-03-14,19.89,70.33,7.74,19.85,24.63,16.57,12.24,0.54,18.4,0.53,1.12,,,0.86,1.97,,51.69,0.04,115.43,0.0,0.0,97.54,,
2024-03-15,46.6,94.79,8.49,18.49,24.02,16.29,7.5,0.43,11.73,0.72,1.8,,,1.08,1.35,,51.46,0.03,117.49,0.0,0.0,95.93,,
2024-03-16,20.39,67.32,,,,,10.57,0.36,10.3,0.83,2.22,,,1.22,0.96,,57.29,0.04,152.12,0.0,0.0,90.25,,
2024-03-17,16.58,63.69,,,,,9.91,0.32,8.83,0.83,2.23,,,1.23,0.96,,59.64,0.04,119.35,0.0,0.0,90.95,,
2024-03-18,20.32,66.88,8.8,11.63,19.17,14.21,9.41,0.43,9.35,0.56,1.67,,,1.02,1.18,,54.93,0.04,123.68,0.0,0.0,109.09,,
2024-03-19,32.03,76.23,8.19,17.62,22.84,16.56,9.0,0.45,10.71,0.35,1.22,,,0.86,1.36,,52.07,0.04,140.91,0.0,0.0,79.75,,
2024-03-20,19.63,66.19,8.61,12.49,19.23,14.96,10.13,0.39,8.64,0.52,1.44,,,0.98,1.15,,61.81,0.04,136.86,0.0,0.0,78.5,,
2024-03-21,26.35,68.41,8.29,13.59,20.66,11.23,9.67,0.38,22.56,0.7,1.78,,,1.07,0.67,,46.38,0.05,196.64,0.0,0.0,173.86,,
2024-03-22,26.71,68.01,7.83,18.59,23.45,14.92,10.77,0.43,34.3,0.56,1.69,,,0.96,0.62,,42.17,0.05,172.91,0.0,0.0,169.92,,
2024-03-23,29.98,72.2,6.79,18.12,21.95,15.98,12.32,0.4,34.7,0.56,1.69,,,0.96,0.62,,39.59,0.04,163.99,0.0,0.0,161.76,,
2024-03-24,25.24,67.42,6.33,16.88,20.25,16.21,13.23,0.38,38.72,0.56,1.69,,,0.96,0.62,,37.07,0.06,192.15,0.0,0.0,151.58,,
2024-03-25,25.8,67.04,7.19,17.48,21.71,15.69,12.06,1.8,28.69,0.56,1.69,,,0.96,0.62,,40.78,0.04,166.88,0.0,0.0,126.77,,
2024-03-26,28.65,70.84,6.98,16.84,20.86,15.84,12.7,0.42,38.82,0.56,1.69,,,0.96,0.62,,33.52,0.05,173.09,0.0,0.0,155.5,,
2024-03-27,34.88,74.64,7.95,18.51,23.5,16.25,10.46,0.38,25.18,0.56,1.69,,,0.96,0.62,,39.98,0.04,163.5,0.0,0.0,159.22,,
2024-03-28,39.54,83.01,7.64,18.87,23.55,16.1,13.49,0.43,25.57,0.58,1.75,,,1.26,0.58,,35.38,0.05,193.47,0.0,0.0,153.63,,
2024-03-29,28.14,69.07,6.28,16.92,20.25,16.92,13.01,0.37,35.22,0.6,1.85,,,0.91,0.53,,36.69,0.05,178.94,0.0,0.0,152.53,,
2024-03-30,26.61,71.03,6.32,16.83,20.19,15.73,13.43,0.37,33.21,0.56,1.69,,,0.96,0.62,,31.31,0.06,195.46,0.0,0.0,152.2,,
2024-03-31,24.42,77.38,7.54,19.8,24.38,14.9,16.39,0.45,30.32,0.75,1.79,,,1.21,0.5,,32.75,0.04,168.9,0.0,0.0,150.39,,
2024-04-01,26.62,84.54,7.08,19.01,23.13,14.83,9.42,0.46,33.46,0.57,1.48,,,1.08,0.91,,29.4,0.05,180.5,0.0,0.0,153.25,,
2024-04-02,29.75,84.9,6.49,18.27,21.79,17.51,1.97,0.46,33.5,0.35,1.2,,,0.87,1.25,,35.72,0.05,172.67,0.0,0.0,150.25,,
