Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,36.47,62.43,0.58,11.71,11.78,7.28,1.64,1.23,62.24,0.27,0.16,,,0.02,0.06,24.92,70.69,2.58,138.7,0.0,0.0,223.95,738.41,0.1
2024-01-02,33.92,58.19,2.06,9.94,11.99,7.51,6.24,1.3,78.6,0.18,0.11,,,0.01,0.03,25.09,69.78,2.86,100.71,0.0,0.0,161.1,735.98,-0.08
2024-01-03,34.25,58.74,0.58,9.83,10.27,6.87,5.88,0.21,67.57,0.2,0.13,,,0.01,0.03,25.3,71.53,2.84,114.86,0.0,0.0,178.26,733.71,-0.3
2024-01-04,25.59,44.31,0.29,8.89,8.98,6.28,4.88,0.24,68.84,0.17,0.12,,,0.01,0.03,25.88,70.26,2.85,84.58,0.0,0.0,195.63,733.11,-0.47
2024-01-05,23.79,41.3,0.2,8.76,8.94,5.82,10.2,0.0,68.26,0.12,0.11,,,0.01,0.03,25.58,68.88,3.0,69.53,0.0,0.0,21.97,733.81,-0.47
2024-01-06,18.57,32.61,0.85,9.21,9.87,5.94,10.19,0.31,55.4,0.15,0.15,,,0.01,0.05,25.34,75.24,2.76,93.22,0.0,0.0,98.7,734.28,-0.5
2024-01-07,16.58,29.28,0.88,8.76,9.59,5.69,10.03,0.12,55.6,0.15,0.13,,,0.01,0.04,25.36,75.56,2.88,81.68,0.0,0.0,102.85,735.45,-0.8
2024-01-08,14.23,23.89,2.7,10.74,13.44,6.63,3.4,0.13,38.75,0.17,0.17,,,0.02,0.08,24.31,93.24,2.56,145.92,0.16,0.16,34.51,738.14,0.18
2024-01-09,39.33,60.66,0.23,6.64,6.64,4.8,5.89,0.09,59.74,0.15,0.13,,,0.01,0.05,25.5,76.4,2.92,83.91,0.14,0.14,171.3,738.61,-0.49
2024-01-10,34.67,53.67,2.09,8.73,9.51,5.65,7.77,0.77,53.56,0.17,0.12,,,0.01,0.04,25.35,74.24,2.81,130.27,0.0,0.0,184.11,737.47,0.0
2024-01-11,31.67,49.16,1.67,9.31,10.28,5.96,3.73,0.35,52.52,0.17,0.11,,,0.01,0.04,25.36,72.29,2.87,144.37,0.0,0.0,246.82,739.07,-0.14
2024-01-12,42.93,66.04,4.6,12.44,16.18,7.99,8.72,0.27,56.04,0.22,0.14,,,0.02,0.05,24.54,74.95,2.96,141.3,0.0,0.0,209.6,738.91,0.0
2024-01-13,53.15,81.38,5.76,11.58,14.34,7.2,5.45,0.26,48.76,0.22,0.14,,,0.02,0.06,25.25,75.51,2.64,133.31,0.0,0.0,186.45,739.73,0.41
2024-01-14,98.62,149.58,2.85,13.09,15.95,7.88,8.6,0.3,52.77,0.72,0.23,,,0.03,0.1,25.75,71.16,2.67,135.01,0.0,0.0,217.02,737.14,0.0
2024-01-15,51.99,79.64,1.96,9.58,9.98,6.15,24.71,0.11,69.95,0.27,0.12,,,0.01,0.04,24.96,68.04,2.83,128.9,0.0,0.0,234.34,735.51,0.14
2024-01-16,41.16,63.4,1.39,10.32,11.54,6.79,9.19,0.14,64.76,0.18,0.11,,,0.01,0.04,24.76,67.86,2.82,138.49,0.0,0.0,234.6,732.1,0.1
2024-01-17,32.39,50.24,2.26,10.38,11.73,6.39,11.91,0.57,46.24,0.16,0.12,,,0.01,0.04,23.69,73.42,2.64,152.05,0.0,0.0,142.05,732.03,0.44
2024-01-18,28.57,44.51,1.54,10.41,11.65,6.58,11.95,0.3,44.51,0.17,0.13,,,0.01,0.04,24.24,77.06,2.79,145.09,0.0,0.0,69.57,731.57,0.48
2024-01-19,34.73,53.75,1.69,10.67,12.28,7.15,17.83,0.27,51.0,0.16,0.12,,,0.01,0.04,25.38,73.53,2.86,132.31,0.0,0.0,229.8,733.72,0.24
2024-01-20,30.33,47.15,2.99,11.61,13.63,7.49,14.84,0.32,50.14,0.16,0.12,,,0.01,0.05,25.24,69.64,2.77,143.08,0.0,0.0,228.3,737.46,0.23
2024-01-21,27.44,42.81,3.6,11.1,13.12,7.21,7.06,0.7,49.08,0.17,0.13,,,0.02,0.05,25.07,71.2,2.73,149.12,0.0,0.0,248.06,737.46,0.51
2024-01-22,22.26,35.05,0.36,10.26,10.54,6.59,6.09,0.83,61.27,0.13,0.13,,,0.02,0.04,25.49,71.51,2.42,163.72,0.0,0.0,110.25,738.87,0.6
2024-01-23,33.86,52.45,4.26,12.67,15.15,8.03,4.45,0.94,53.0,0.23,0.2,,,0.03,0.09,25.09,71.68,2.8,156.08,0.0,0.0,208.58,738.82,0.41
2024-01-24,33.92,52.54,4.26,13.29,16.89,8.25,3.77,0.61,35.22,0.21,0.19,,,0.02,0.06,24.18,77.1,2.85,170.66,0.0,0.0,220.84,737.9,0.63
2024-01-25,,,8.03,9.52,10.39,6.03,,,,,,,,,,23.55,83.25,2.46,142.83,0.0,0.0,9.44,744.65,0.41
2024-01-26,,,4.25,9.12,5.47,4.4,,,,,,,,,,25.14,71.64,2.83,138.6,0.0,0.0,201.6,746.84,0.07
2024-01-27,23.77,37.3,7.14,8.03,9.67,5.98,11.28,0.63,67.46,0.16,0.14,,,0.02,0.06,26.21,62.61,2.88,101.41,0.0,0.0,302.08,745.74,-0.54
2024-01-28,25.35,39.68,6.08,6.71,7.85,5.39,9.66,0.65,50.68,0.18,0.11,,,0.01,0.04,25.32,71.02,3.05,127.0,0.0,0.0,190.13,744.8,-0.15
2024-01-29,36.2,55.96,2.13,11.03,13.15,7.34,6.31,0.97,62.39,0.21,0.13,,,0.01,0.04,24.94,67.51,2.79,117.94,0.0,0.0,224.15,743.13,-0.06
2024-01-30,30.11,46.83,1.83,10.9,11.98,7.27,9.54,1.7,66.23,0.19,0.12,,,0.01,0.05,24.9,63.77,2.73,139.9,0.0,0.0,270.95,739.95,0.19
2024-01-31,43.24,61.93,2.05,11.71,13.47,7.56,22.88,1.61,55.1,0.15,0.12,,,0.02,0.05,25.97,68.9,2.69,144.94,0.0,0.0,264.74,738.99,0.15
2024-02-01,44.55,68.5,1.78,5.81,6.08,4.64,9.35,0.49,52.45,0.14,0.12,,,0.02,0.05,26.81,72.13,2.81,128.84,0.0,0.0,195.69,738.59,0.13
2024-02-02,26.19,40.97,0.41,4.83,5.2,3.89,7.51,0.42,56.22,0.09,0.1,,,0.02,0.04,27.39,68.99,2.95,127.71,0.0,0.0,209.8,737.24,-0.01
2024-02-03,40.71,62.75,0.96,7.28,8.24,5.05,24.21,0.45,85.95,0.14,0.1,,,0.01,0.02,27.39,58.73,3.4,100.8,0.0,0.0,115.83,739.58,-0.71
2024-02-04,39.97,61.65,0.91,6.97,7.79,4.73,25.24,0.4,66.51,0.1,0.07,,,0.07,0.02,26.57,62.26,2.91,121.74,0.0,0.0,266.51,745.59,-0.17
2024-02-05,43.22,66.51,4.38,8.89,11.13,5.67,9.62,0.37,58.44,0.16,0.14,,,0.02,0.05,26.01,65.54,2.58,154.37,0.0,0.0,271.81,746.02,0.09
2024-02-06,52.92,81.06,1.2,9.01,9.9,5.21,23.07,0.71,69.41,0.18,0.15,,,0.02,0.05,26.24,65.38,2.88,134.38,0.0,0.0,272.21,744.31,-0.06
2024-02-07,63.43,96.83,2.05,11.03,12.61,6.01,38.32,0.44,73.11,0.22,0.22,,,0.04,0.1,26.72,57.07,2.92,125.85,0.0,0.0,330.04,741.98,-0.04
2024-02-08,35.84,61.57,2.27,9.44,10.08,5.37,17.45,0.47,93.29,0.26,0.22,,,0.03,0.1,28.9,40.07,2.83,116.09,0.0,0.0,392.48,738.6,-0.13
2024-02-09,26.54,48.12,1.52,7.61,8.52,4.84,10.46,0.34,57.32,0.13,0.14,,,0.02,0.04,26.52,64.41,2.77,140.18,0.0,0.0,332.67,740.51,-0.02
2024-02-10,37.91,68.03,,0.44,0.06,2.28,1.46,1.07,77.96,0.11,0.08,,,0.01,0.02,27.33,60.32,3.32,101.98,0.0,0.0,113.98,743.65,-0.69
2024-02-11,41.55,74.4,,,0.0,1.67,3.22,0.77,71.16,0.15,0.08,,,0.01,0.03,26.32,67.23,2.94,102.68,0.0,0.0,215.25,747.72,-0.38
2024-02-12,32.95,59.34,3.33,9.25,11.26,6.85,13.93,0.73,62.1,0.2,0.11,,,0.01,0.04,24.7,70.81,3.07,136.79,0.0,0.0,180.04,746.51,-0.09
