Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,39.04,64.58,5.0,12.32,10.62,3.79,1.91,0.56,26.0,0.49,0.7,,,0.09,,26.33,74.09,0.64,71.5,0.0,0.0,95.16,747.75,0.27
2024-01-02,36.53,59.42,5.0,14.21,11.62,4.29,2.18,0.71,26.0,0.48,0.69,,,0.07,,25.98,76.88,0.71,73.7,0.0,0.0,118.57,750.0,0.27
2024-01-03,41.68,70.0,5.0,13.02,10.99,4.29,2.56,0.84,26.0,0.47,0.67,,,0.09,,26.09,74.28,1.04,54.64,0.0,0.0,115.58,757.0,0.27
2024-01-04,40.17,66.89,5.0,13.62,11.31,4.29,3.21,0.8,28.15,0.49,0.71,,,0.16,,26.12,72.86,1.2,60.21,0.0,0.0,120.23,760.71,0.27
2024-01-05,32.48,51.12,5.0,14.51,11.78,4.08,3.52,0.86,30.28,0.5,0.74,,,0.18,,25.69,71.36,0.97,50.77,0.0,0.0,129.47,754.98,0.27
2024-01-06,47.46,81.83,5.0,12.78,10.86,4.09,3.52,0.86,30.28,0.5,0.74,,,0.18,,25.43,77.32,1.12,51.89,0.0,0.0,123.35,756.34,0.27
2024-01-07,46.14,79.14,5.0,12.32,10.62,4.16,3.52,0.86,30.28,0.5,0.74,,,0.18,,25.67,75.17,1.21,51.04,0.0,0.0,124.36,758.76,0.27
2024-01-08,52.42,92.0,5.0,14.32,11.68,4.62,3.52,0.86,30.28,0.5,0.74,,,0.18,,25.73,74.68,1.38,47.88,0.0,0.0,78.24,761.73,0.27
2024-01-09,62.1,111.84,5.0,11.99,10.44,3.69,4.23,0.89,30.28,0.37,0.72,,,0.22,,27.24,70.21,0.75,67.45,0.0,0.0,143.27,751.64,0.27
2024-01-10,67.84,123.61,5.27,15.22,12.38,4.41,4.26,0.89,30.28,0.37,0.72,,,0.22,,25.9,81.7,0.76,51.02,0.0,0.0,109.85,750.51,0.27
2024-01-11,58.14,103.74,5.0,13.33,11.16,3.59,6.11,0.8,30.5,0.35,0.71,,,0.25,,27.99,63.94,0.51,85.45,0.0,0.0,163.2,746.95,0.27
2024-01-12,68.96,125.92,5.01,14.5,11.78,3.61,7.62,0.73,32.27,0.35,0.73,,,0.27,,26.88,76.23,0.5,93.6,0.0,0.0,115.19,746.51,0.27
2024-01-13,66.47,120.81,5.0,14.41,11.73,3.7,7.62,0.73,32.27,0.35,0.73,,,0.27,,27.15,79.34,0.45,142.34,0.0,0.0,112.1,746.11,0.27
2024-01-14,119.34,160.35,5.0,13.17,11.07,3.78,6.36,0.7,29.91,0.38,0.76,,,0.3,,27.29,79.68,0.49,142.14,0.0,0.0,118.28,748.56,0.27
2024-01-15,68.68,134.69,5.0,12.5,10.71,4.21,5.63,0.68,28.56,0.39,0.77,,,0.31,,27.09,80.34,0.48,127.13,0.0,0.0,152.98,747.47,0.27
