Dataset,Parameter,RMSE
dataset_1,TOT-RF (mm),0.06597222484006499
dataset_2,Benzene (µg/m³),1.7525612862541515
dataset_2,CO (mg/m³),0.22768480243461658
dataset_2,NH3 (µg/m³),7.522253873117405
dataset_2,NO (µg/m³),10.77479034332923
dataset_2,NO2 (µg/m³),8.56729166061095
dataset_2,NOx (ppb),16.854443801413
dataset_2,Ozone (µg/m³),7.1702905383589775
dataset_2,PM10 (µg/m³),18.890586544948942
dataset_2,PM2.5 (µg/m³),8.244057891842912
dataset_2,SO2 (µg/m³),3.125418963349265
dataset_2,TOT-RF (mm),0.25510106887678513
dataset_3,Benzene (µg/m³),1.0202741745454884
dataset_3,CO (mg/m³),0.3590212940890142
dataset_3,PM10 (µg/m³),51.62762832390907
dataset_3,SO2 (µg/m³),4.4520349376061255
dataset_3,TOT-RF (mm),0.1708717245910474
dataset_3,Toluene (µg/m³),1.9476172354154662
dataset_3,Xylene (µg/m³),2.3047091286935735
dataset_4,TOT-RF (mm),0.0
dataset_5,AT (°C),0.9131440965845553
dataset_5,CO (mg/m³),0.43444252043639364
dataset_5,NH3 (µg/m³),1.8750742479240188
dataset_5,NO (µg/m³),7.290090875884207
dataset_5,NO2 (µg/m³),4.657937570217823
dataset_5,NOx (ppb),7.414884717567393
dataset_5,Ozone (µg/m³),4.162337093005668
dataset_5,PM10 (µg/m³),23.181887024388242
dataset_5,PM2.5 (µg/m³),9.941736901333856
dataset_5,RF (mm),0.07872899815851361
dataset_5,RH (%),3.4807034050852965
dataset_5,SO2 (µg/m³),4.951879751353131
dataset_5,SR (W/mt2),20.95458847092594
dataset_5,TOT-RF (mm),0.07872899815851361
dataset_5,WD (deg),24.02858954815848
dataset_5,WS (m/s),0.23140092514325336
dataset_6,Benzene (µg/m³),0.37844794606589327
dataset_6,CO (mg/m³),0.2861097414431365
dataset_6,MP-Xylene (µg/m³),2.8258700975000566
dataset_6,NH3 (µg/m³),3.4941979778709644
dataset_6,NO (µg/m³),0.7095713459984709
dataset_6,NO2 (µg/m³),2.422473313050012
dataset_6,NOx (ppb),2.9479479014914642
dataset_6,Ozone (µg/m³),1.0102226056584367
dataset_6,PM10 (µg/m³),72.68749024736978
dataset_6,PM2.5 (µg/m³),44.961813095798696
dataset_6,RF (mm),0.4485393572286647
dataset_6,SR (W/mt2),37.941499736740006
dataset_6,TOT-RF (mm),0.3564273771327119
dataset_6,Toluene (µg/m³),0.8008778389862387
dataset_6,WD (deg),27.44274175983749
dataset_6,WS (m/s),0.21439027213504366
dataset_9,TOT-RF (mm),0.15554839432935216
dataset_10,TOT-RF (mm),0.1590407725576233
dataset_11,TOT-RF (mm),0.012638418468843967
dataset_12,TOT-RF (mm),0.2182107911881078
dataset_13,TOT-RF (mm),0.08744895778685582
