Dataset,Parameter,RMSE
dataset_1,TOT-RF (mm),0.04021262090937662
dataset_2,Benzene (µg/m³),2.0989495411384262
dataset_2,CO (mg/m³),0.2139549581989888
dataset_2,NH3 (µg/m³),6.638323023704845
dataset_2,NO (µg/m³),10.270236159226503
dataset_2,NO2 (µg/m³),7.6476498280661565
dataset_2,NOx (ppb),15.489426201191108
dataset_2,Ozone (µg/m³),5.665012486755505
dataset_2,PM10 (µg/m³),13.555139472918315
dataset_2,PM2.5 (µg/m³),6.202395270226059
dataset_2,SO2 (µg/m³),2.111941349651504
dataset_2,TOT-RF (mm),0.21935446042956325
dataset_3,Benzene (µg/m³),0.7406218910082345
dataset_3,CO (mg/m³),0.261385748614082
dataset_3,PM10 (µg/m³),46.784430011223776
dataset_3,SO2 (µg/m³),3.6936725823486123
dataset_3,TOT-RF (mm),0.1410918018586627
dataset_3,Toluene (µg/m³),1.8442203130912507
dataset_3,Xylene (µg/m³),1.7089312942837624
dataset_4,TOT-RF (mm),0.0
dataset_5,AT (°C),0.9559362825236896
dataset_5,CO (mg/m³),0.4469436437512621
dataset_5,NH3 (µg/m³),1.670527396246226
dataset_5,NO (µg/m³),7.447883882654314
dataset_5,NO2 (µg/m³),5.330908311828179
dataset_5,NOx (ppb),8.185761245281403
dataset_5,Ozone (µg/m³),3.678585995103505
dataset_5,PM10 (µg/m³),21.44002085476769
dataset_5,PM2.5 (µg/m³),9.894128749742194
dataset_5,RF (mm),0.059642934983840205
dataset_5,RH (%),3.959051550086864
dataset_5,SO2 (µg/m³),4.030165802850726
dataset_5,SR (W/mt2),18.949431263516278
dataset_5,TOT-RF (mm),0.059642934983840205
dataset_5,WD (deg),19.278331504905367
dataset_5,WS (m/s),0.1899563874124109
dataset_6,Benzene (µg/m³),0.14054832413666324
dataset_6,CO (mg/m³),0.27501428036763886
dataset_6,MP-Xylene (µg/m³),2.4118537289731496
dataset_6,NH3 (µg/m³),2.182395165638851
dataset_6,NO (µg/m³),0.4432784513605564
dataset_6,NO2 (µg/m³),1.5593628967235817
dataset_6,NOx (ppb),1.1881414782818556
dataset_6,Ozone (µg/m³),0.5585664292979824
dataset_6,PM10 (µg/m³),58.665913864194366
dataset_6,PM2.5 (µg/m³),36.30366855532252
dataset_6,RF (mm),0.3288348757034862
dataset_6,SR (W/mt2),28.51604828124935
dataset_6,TOT-RF (mm),0.2603786294059883
dataset_6,Toluene (µg/m³),0.49478429062862705
dataset_6,WD (deg),27.499973073828674
dataset_6,WS (m/s),0.20482564307552575
dataset_9,TOT-RF (mm),0.1555243879558513
dataset_10,TOT-RF (mm),0.10702481181869737
dataset_11,TOT-RF (mm),0.012998673672393633
dataset_12,TOT-RF (mm),0.1757398155189105
dataset_13,TOT-RF (mm),0.10006032663107413
