,TOT-RF (mm)_Lagrange,TOT-RF (mm)_Newton,TOT-RF (mm)_Linear Spline,TOT-RF (mm)_Cubic Spline,TOT-RF (mm)_Polynomial,Benzene (µg/m³)_Lagrange,Benzene (µg/m³)_Newton,Benzene (µg/m³)_Linear Spline,Benzene (µg/m³)_Cubic Spline,Benzene (µg/m³)_Polynomial,CO (mg/m³)_Lagrange,CO (mg/m³)_Newton,CO (mg/m³)_Linear Spline,CO (mg/m³)_Cubic Spline,CO (mg/m³)_Polynomial,NH3 (µg/m³)_Lagrange,NH3 (µg/m³)_Newton,NH3 (µg/m³)_Linear Spline,NH3 (µg/m³)_Cubic Spline,NH3 (µg/m³)_Polynomial,NO (µg/m³)_Lagrange,NO (µg/m³)_Newton,NO (µg/m³)_Linear Spline,NO (µg/m³)_Cubic Spline,NO (µg/m³)_Polynomial,NO2 (µg/m³)_Lagrange,NO2 (µg/m³)_Newton,NO2 (µg/m³)_Linear Spline,NO2 (µg/m³)_Cubic Spline,NO2 (µg/m³)_Polynomial,NOx (ppb)_Lagrange,NOx (ppb)_Newton,NOx (ppb)_Linear Spline,NOx (ppb)_Cubic Spline,NOx (ppb)_Polynomial,Ozone (µg/m³)_Lagrange,Ozone (µg/m³)_Newton,Ozone (µg/m³)_Linear Spline,Ozone (µg/m³)_Cubic Spline,Ozone (µg/m³)_Polynomial,PM10 (µg/m³)_Lagrange,PM10 (µg/m³)_Newton,PM10 (µg/m³)_Linear Spline,PM10 (µg/m³)_Cubic Spline,PM10 (µg/m³)_Polynomial,PM2.5 (µg/m³)_Lagrange,PM2.5 (µg/m³)_Newton,PM2.5 (µg/m³)_Linear Spline,PM2.5 (µg/m³)_Cubic Spline,PM2.5 (µg/m³)_Polynomial,SO2 (µg/m³)_Lagrange,SO2 (µg/m³)_Newton,SO2 (µg/m³)_Linear Spline,SO2 (µg/m³)_Cubic Spline,SO2 (µg/m³)_Polynomial,Toluene (µg/m³)_Lagrange,Toluene (µg/m³)_Newton,Toluene (µg/m³)_Linear Spline,Toluene (µg/m³)_Cubic Spline,Toluene (µg/m³)_Polynomial,Xylene (µg/m³)_Lagrange,Xylene (µg/m³)_Newton,Xylene (µg/m³)_Linear Spline,Xylene (µg/m³)_Cubic Spline,Xylene (µg/m³)_Polynomial,AT (°C)_Lagrange,AT (°C)_Newton,AT (°C)_Linear Spline,AT (°C)_Cubic Spline,AT (°C)_Polynomial,RF (mm)_Lagrange,RF (mm)_Newton,RF (mm)_Linear Spline,RF (mm)_Cubic Spline,RF (mm)_Polynomial,RH (%)_Lagrange,RH (%)_Newton,RH (%)_Linear Spline,RH (%)_Cubic Spline,RH (%)_Polynomial,SR (W/mt2)_Lagrange,SR (W/mt2)_Newton,SR (W/mt2)_Linear Spline,SR (W/mt2)_Cubic Spline,SR (W/mt2)_Polynomial,WD (deg)_Lagrange,WD (deg)_Newton,WD (deg)_Linear Spline,WD (deg)_Cubic Spline,WD (deg)_Polynomial,WS (m/s)_Lagrange,WS (m/s)_Newton,WS (m/s)_Linear Spline,WS (m/s)_Cubic Spline,WS (m/s)_Polynomial,MP-Xylene (µg/m³)_Lagrange,MP-Xylene (µg/m³)_Newton,MP-Xylene (µg/m³)_Linear Spline,MP-Xylene (µg/m³)_Cubic Spline,MP-Xylene (µg/m³)_Polynomial
dataset_1,0.13228619173714662,0.13228619173714662,0.019097222222222217,0.03425603896626978,0.028935524003882978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_2,0.1147590311986864,0.11475903119868637,0.07327586206896551,0.08690881832581172,0.04988566070197865,0.9964752871649419,0.9964752871649424,0.9104022988505748,0.8874372808516945,1.5820535494524304,0.1541535284638733,0.1541535284638733,0.1263793103448276,0.1351675010186025,0.18628310964250944,6.526127121920224,6.526127121920224,4.157701149425288,5.420393983545061,8.441284614202633,4.947703033556481,4.947703033556482,3.543333333333333,4.178536876693814,5.234611554586167,9.825274153050016,9.825274153050016,5.945402298850575,6.877190248373983,10.691713002672309,14.400255915540397,14.400255915540397,9.022816091954022,10.69704083204581,15.215201420030315,6.593112971319871,6.5931129713198695,4.705287356321839,5.420226380976711,10.17944842576483,19.41487574877231,19.4148757487723,11.268620689655178,14.527117486158104,24.359901272831955,8.557605313269107,8.557605313269104,4.964482758620688,6.556743657255978,12.478099628644305,2.5133907050803597,2.51339070508036,1.534425287356322,2.083855053025057,2.0771817934278323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_3,0.11947617803652286,0.1194761780365229,0.05310344827586206,0.071415142792907,0.04771474683339107,0.8834889765407006,0.8834889765407007,0.5529310344827586,0.6829081901084804,0.5334011208629369,0.31672391688771007,0.31672391688771007,0.19293103448275864,0.2485097818680283,0.21512404824639872,,,,,,,,,,,,,,,,,,,,,,,,,,50.85703217854943,50.85703217854942,36.30603448275862,37.09867006543562,65.54949715258034,,,,,,5.587904009783322,5.587904009783321,2.9001724137931038,3.589846053275523,3.6942600717419842,1.891360433627675,1.8913604336276755,1.1363793103448274,1.311844401409279,1.7378978117616464,2.105486155606845,2.1054861556068456,1.297701149425287,1.6161016619856792,1.441864066149004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_5,0.06113335323680151,0.061133353236801496,0.030574712643678163,0.037484672904773766,0.05180368030901224,,,,,,0.4403111658456485,0.44031116584564856,0.32321839080459763,0.3288998224128405,0.29391851465068547,1.7219834820352042,1.7219834820352067,1.285229885057471,1.2570853107531847,2.8441915520634082,4.371858382039415,4.3718583820394175,3.1493103448275868,3.2950863779021735,5.317715526646863,5.207125304771855,5.207125304771854,3.857298850574713,3.7677894319127976,7.140220080115291,5.9535277404587745,5.9535277404587745,4.306436781609196,4.436408012885696,7.571217279695008,4.785187256230365,4.785187256230359,3.016264367816092,3.1957822709705144,7.297581851900421,17.451151925660547,17.451151925660547,15.266206896551726,16.468649467002116,17.07547136364603,8.207894387221968,8.207894387221977,6.88816091954023,7.353491078639722,8.00183754453981,4.403168911548221,4.403168911548222,2.690574712643678,3.352479332217204,2.2458125074978685,,,,,,,,,,,0.6719475725423993,0.671947572542399,0.7237931034482759,0.6899753487009073,1.6111004607271822,0.06113335323680151,0.061133353236801496,0.030574712643678163,0.037484672904773766,0.05180368030901224,2.918784742077839,2.918784742077845,3.0401724137931025,2.6798299450159315,7.059030719435153,17.526545198096937,17.526545198096922,14.246551724137934,15.901790772417062,17.431253299066405,29.48036862275656,29.480368622756572,14.11442528735633,18.047752462452696,34.23697369004008,0.2639039571539571,0.2639039571539571,0.1401724137931034,0.18833843279694812,0.240662234443267,,,,,
dataset_6,0.2064081081753496,0.20640810817534957,0.10741379310344827,0.15184803980766534,0.07674090576425621,0.6052542792456587,0.6052542792456587,0.10896551724137937,0.24128257109572332,0.11354706028577226,0.2744876713324989,0.27448767133249885,0.17408045977011496,0.19748276058812864,0.2667996592185151,3.4960759901018528,3.4960759901018523,1.1702298850574708,2.0002421663551115,1.3113902559075123,0.5059023323419872,0.505902332341987,0.1986206896551726,0.34823421187855963,0.32972790361334386,2.0711167721167705,2.0711167721167705,0.6334482758620689,1.1160587688918613,2.2242045659531824,4.109983824604514,4.109983824604514,0.711206896551724,1.6840768981587237,0.7999147527663858,1.6484669114410477,1.648466911441051,0.3875287356321849,0.7203965730195799,3.5966496132493924,62.56257785892271,62.56257785892269,42.22362068965517,47.36771520147177,36.52515037717633,34.90910961069582,34.909109610695815,26.166551724137932,29.78246414251734,30.046706807932548,,,,,,1.1279220740944875,1.1279220740944877,0.2465517241379311,0.5305375680455375,1.0778650746824672,,,,,,,,,,,0.25822753396029263,0.25822753396029263,0.1306896551724138,0.1878587603963367,0.09124713779090694,,,,,,37.056694611901506,37.05669461190149,17.873908045977007,24.606162318753608,23.728479238795206,40.68089945590807,40.680899455908076,20.90362068965517,20.8700873326389,27.23221605000337,0.2337418309659688,0.23374183096596884,0.14051724137931032,0.15493384509083477,0.1826459913372442,1.6327342791308306,1.632734279130831,1.0414367816091952,1.143177322815933,2.588710750441052
dataset_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_9,0.07519917151813703,0.07519917151813703,0.0639655172413793,0.0663374276886198,0.07361305469891474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_10,0.07603282828282829,0.07603282828282829,0.045000000000000005,0.06670018307286137,0.04259186554327251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_11,0.0033442802408319657,0.003344280240831965,0.002413793103448276,0.003347825491094637,0.002922846455254761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_12,0.05337699656665174,0.05337699656665174,0.047241379310344826,0.0586979801343665,0.0400727519502423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_13,0.09448865502313776,0.09448865502313779,0.045517241379310354,0.04636467466905168,0.08513020140993968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
