,TOT-RF (mm)_Lagrange,TOT-RF (mm)_Newton,TOT-RF (mm)_Linear Spline,TOT-RF (mm)_Cubic Spline,TOT-RF (mm)_Polynomial,Benzene (µg/m³)_Lagrange,Benzene (µg/m³)_Newton,Benzene (µg/m³)_Linear Spline,Benzene (µg/m³)_Cubic Spline,Benzene (µg/m³)_Polynomial,CO (mg/m³)_Lagrange,CO (mg/m³)_Newton,CO (mg/m³)_Linear Spline,CO (mg/m³)_Cubic Spline,CO (mg/m³)_Polynomial,NH3 (µg/m³)_Lagrange,NH3 (µg/m³)_Newton,NH3 (µg/m³)_Linear Spline,NH3 (µg/m³)_Cubic Spline,NH3 (µg/m³)_Polynomial,NO (µg/m³)_Lagrange,NO (µg/m³)_Newton,NO (µg/m³)_Linear Spline,NO (µg/m³)_Cubic Spline,NO (µg/m³)_Polynomial,NO2 (µg/m³)_Lagrange,NO2 (µg/m³)_Newton,NO2 (µg/m³)_Linear Spline,NO2 (µg/m³)_Cubic Spline,NO2 (µg/m³)_Polynomial,NOx (ppb)_Lagrange,NOx (ppb)_Newton,NOx (ppb)_Linear Spline,NOx (ppb)_Cubic Spline,NOx (ppb)_Polynomial,Ozone (µg/m³)_Lagrange,Ozone (µg/m³)_Newton,Ozone (µg/m³)_Linear Spline,Ozone (µg/m³)_Cubic Spline,Ozone (µg/m³)_Polynomial,PM10 (µg/m³)_Lagrange,PM10 (µg/m³)_Newton,PM10 (µg/m³)_Linear Spline,PM10 (µg/m³)_Cubic Spline,PM10 (µg/m³)_Polynomial,PM2.5 (µg/m³)_Lagrange,PM2.5 (µg/m³)_Newton,PM2.5 (µg/m³)_Linear Spline,PM2.5 (µg/m³)_Cubic Spline,PM2.5 (µg/m³)_Polynomial,SO2 (µg/m³)_Lagrange,SO2 (µg/m³)_Newton,SO2 (µg/m³)_Linear Spline,SO2 (µg/m³)_Cubic Spline,SO2 (µg/m³)_Polynomial,Toluene (µg/m³)_Lagrange,Toluene (µg/m³)_Newton,Toluene (µg/m³)_Linear Spline,Toluene (µg/m³)_Cubic Spline,Toluene (µg/m³)_Polynomial,Xylene (µg/m³)_Lagrange,Xylene (µg/m³)_Newton,Xylene (µg/m³)_Linear Spline,Xylene (µg/m³)_Cubic Spline,Xylene (µg/m³)_Polynomial,AT (°C)_Lagrange,AT (°C)_Newton,AT (°C)_Linear Spline,AT (°C)_Cubic Spline,AT (°C)_Polynomial,RF (mm)_Lagrange,RF (mm)_Newton,RF (mm)_Linear Spline,RF (mm)_Cubic Spline,RF (mm)_Polynomial,RH (%)_Lagrange,RH (%)_Newton,RH (%)_Linear Spline,RH (%)_Cubic Spline,RH (%)_Polynomial,SR (W/mt2)_Lagrange,SR (W/mt2)_Newton,SR (W/mt2)_Linear Spline,SR (W/mt2)_Cubic Spline,SR (W/mt2)_Polynomial,WD (deg)_Lagrange,WD (deg)_Newton,WD (deg)_Linear Spline,WD (deg)_Cubic Spline,WD (deg)_Polynomial,WS (m/s)_Lagrange,WS (m/s)_Newton,WS (m/s)_Linear Spline,WS (m/s)_Cubic Spline,WS (m/s)_Polynomial,MP-Xylene (µg/m³)_Lagrange,MP-Xylene (µg/m³)_Newton,MP-Xylene (µg/m³)_Linear Spline,MP-Xylene (µg/m³)_Cubic Spline,MP-Xylene (µg/m³)_Polynomial
dataset_1,485.21169643359025,485.21169643359025,366.022531994756,415.15033538534897,52.61182256764284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_2,583.7826385965643,583.7826385965642,488.7444977991196,566.8316241047551,111.26001909049492,33.34367943069423,33.34367943069423,42.95776900291851,84.57100364285425,307.0187519918669,18.779212592569877,18.779212592569863,16.271542632234883,16.322996348005116,27.39189436237498,25.711564514040564,25.711564514040564,14.937108092881932,20.750813509242267,32.47619572860949,32.55289561814044,32.55289561814045,17.123632626579454,23.843211250505544,34.15333202856085,27.81995009204841,27.819950092048412,17.21183326127985,19.677717469604726,33.58743966795828,28.46387164727017,28.46387164727017,16.872558530311785,20.328993185888265,31.98537342943841,18.86652526189609,18.86652526189608,15.728641618277148,15.877202111408629,38.1823429067414,26.10288581383966,26.102885813839656,14.752210405536283,19.04193651966299,35.80654513247037,21.84400771913673,21.84400771913672,13.052361867254739,16.894162363492224,34.14580938448758,23.52101680567736,23.52101680567736,14.870584747166443,19.96387507030219,21.280031697280048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_3,642.3099797578964,642.3099797578967,505.1609848484849,462.0938600842543,230.58077352371225,34.28462188632869,34.284621886328694,23.90344354881266,27.22407436119051,28.712078343339098,32.92832604168957,32.92832604168957,21.476028409796506,26.268465440511658,27.578263987023643,,,,,,,,,,,,,,,,,,,,,,,,,,35.01562930027646,35.015629300276466,26.589864831221462,23.874935652046553,99.32978204129057,,,,,,46.68903977582465,46.689039775824654,22.615307066937167,28.1129102723003,32.14350360487168,38.656058752261266,38.65605875226128,23.315576216819164,28.64878280527421,48.4691497085184,50.329377388490705,50.329377388490705,33.37468554190962,32.14334776106257,78.48641281485105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_5,232.45090314169263,232.45090314169255,187.59210526315792,217.43107667990006,238.31354515368898,,,,,,33.51211181330884,33.51211181330884,25.00490145471783,24.37654646771579,27.26522531623991,8.941652169584104,8.941652169584119,6.752629655429187,6.482893662292187,18.51658039353784,41.21490399834965,41.21490399834967,22.54573937159418,24.49878499491765,68.86048842165887,10.411503254643986,10.411503254643986,7.704497743568314,7.807275171930289,13.827963818842747,15.442762826940276,15.442762826940273,10.147077708749968,11.031992757766657,21.350142652356432,10.438812695971556,10.43881269597155,7.422909778985852,7.620666323466555,18.29961489876725,17.05351891275779,17.05351891275779,14.688432370200125,15.258250731480436,19.54181505062758,19.21793841715748,19.21793841715749,15.986255852357791,16.4529575725979,20.680215469917766,37.07192665307146,37.07192665307147,21.681292922454322,27.0722546706814,20.114529010657385,,,,,,,,,,,2.659513944499356,2.6595139444993543,2.8348561403850017,2.779809307419566,6.2930861589101825,232.45090314169263,232.45090314169255,187.59210526315792,217.43107667990006,238.31354515368898,5.476638046679885,5.476638046679893,5.701400935862775,4.9361430021809625,12.654718805209116,8.823359452968424,8.823359452968417,7.11100470510073,8.011767121684835,8.642605255796724,16.63423955878493,16.63423955878494,8.268683315460954,10.599333813264119,19.727633324443538,30.882029314750692,30.882029314750696,15.47586825273516,21.373529014592997,27.113071439525594,,,,,
dataset_6,2098.7561893885395,2098.7561893885395,1363.735930446662,1871.0742599614996,259.78337892497404,14.143388264477405,14.143388264477405,2.555968516693361,5.649216561123755,2.6595668438595568,25.15387593666651,25.1538759366665,14.504658460549683,17.43586842295003,25.317221554716042,10.030844899640394,10.030844899640387,3.344204578581795,5.703976636409215,3.770628938908745,3.2328466575143926,3.2328466575143913,1.2693887048685013,2.2276526346850787,2.1024651985174163,10.58803823515205,10.588038235152053,3.3988038432579653,5.570143625823527,11.653262390445402,14.933148773511604,14.933148773511606,2.580460782391088,6.100565126404824,2.9123104484318287,4.226208721102067,4.226208721102075,1.041691237068462,1.8221119516760282,9.363164126534773,32.362233159467415,32.362233159467415,20.20293839051927,22.89443020311963,20.597116911650442,33.70482492330814,33.70482492330814,24.814320472910314,26.875901486167397,37.745929898946606,,,,,,21.305842902822,21.305842902822,4.602392168659435,9.967373270621065,21.870723341455456,,,,,,,,,,,2779.5054060351936,2779.5054060351936,1759.514829638752,2474.253089808986,280.4859483919406,,,,,,35.66106364357515,35.66106364357515,18.4852454595476,24.323141366081348,26.41195868146004,18.501687103556648,18.501687103556648,8.947932835862003,8.647970459899698,11.66512192213258,28.499023752150055,28.49902375215006,17.074213256938904,18.26786190372227,21.928950614652592,16.001095666539918,16.001095666539914,7.446309565255784,8.664086549196421,31.626040280614916
dataset_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_9,184.55368595249547,184.5536859524954,91.73340548340548,145.58526956807353,91.4492740675545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_10,510.3200082510908,510.3200082510908,360.9375,480.9075232713124,225.26507953717712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
