,TOT-RF (mm)_Lagrange,TOT-RF (mm)_Newton,TOT-RF (mm)_Linear Spline,TOT-RF (mm)_Cubic Spline,TOT-RF (mm)_Polynomial,Benzene (µg/m³)_Lagrange,Benzene (µg/m³)_Newton,Benzene (µg/m³)_Linear Spline,Benzene (µg/m³)_Cubic Spline,Benzene (µg/m³)_Polynomial,CO (mg/m³)_Lagrange,CO (mg/m³)_Newton,CO (mg/m³)_Linear Spline,CO (mg/m³)_Cubic Spline,CO (mg/m³)_Polynomial,NH3 (µg/m³)_Lagrange,NH3 (µg/m³)_Newton,NH3 (µg/m³)_Linear Spline,NH3 (µg/m³)_Cubic Spline,NH3 (µg/m³)_Polynomial,NO (µg/m³)_Lagrange,NO (µg/m³)_Newton,NO (µg/m³)_Linear Spline,NO (µg/m³)_Cubic Spline,NO (µg/m³)_Polynomial,NO2 (µg/m³)_Lagrange,NO2 (µg/m³)_Newton,NO2 (µg/m³)_Linear Spline,NO2 (µg/m³)_Cubic Spline,NO2 (µg/m³)_Polynomial,NOx (ppb)_Lagrange,NOx (ppb)_Newton,NOx (ppb)_Linear Spline,NOx (ppb)_Cubic Spline,NOx (ppb)_Polynomial,Ozone (µg/m³)_Lagrange,Ozone (µg/m³)_Newton,Ozone (µg/m³)_Linear Spline,Ozone (µg/m³)_Cubic Spline,Ozone (µg/m³)_Polynomial,PM10 (µg/m³)_Lagrange,PM10 (µg/m³)_Newton,PM10 (µg/m³)_Linear Spline,PM10 (µg/m³)_Cubic Spline,PM10 (µg/m³)_Polynomial,PM2.5 (µg/m³)_Lagrange,PM2.5 (µg/m³)_Newton,PM2.5 (µg/m³)_Linear Spline,PM2.5 (µg/m³)_Cubic Spline,PM2.5 (µg/m³)_Polynomial,SO2 (µg/m³)_Lagrange,SO2 (µg/m³)_Newton,SO2 (µg/m³)_Linear Spline,SO2 (µg/m³)_Cubic Spline,SO2 (µg/m³)_Polynomial,Toluene (µg/m³)_Lagrange,Toluene (µg/m³)_Newton,Toluene (µg/m³)_Linear Spline,Toluene (µg/m³)_Cubic Spline,Toluene (µg/m³)_Polynomial,Xylene (µg/m³)_Lagrange,Xylene (µg/m³)_Newton,Xylene (µg/m³)_Linear Spline,Xylene (µg/m³)_Cubic Spline,Xylene (µg/m³)_Polynomial,AT (°C)_Lagrange,AT (°C)_Newton,AT (°C)_Linear Spline,AT (°C)_Cubic Spline,AT (°C)_Polynomial,RF (mm)_Lagrange,RF (mm)_Newton,RF (mm)_Linear Spline,RF (mm)_Cubic Spline,RF (mm)_Polynomial,RH (%)_Lagrange,RH (%)_Newton,RH (%)_Linear Spline,RH (%)_Cubic Spline,RH (%)_Polynomial,SR (W/mt2)_Lagrange,SR (W/mt2)_Newton,SR (W/mt2)_Linear Spline,SR (W/mt2)_Cubic Spline,SR (W/mt2)_Polynomial,WD (deg)_Lagrange,WD (deg)_Newton,WD (deg)_Linear Spline,WD (deg)_Cubic Spline,WD (deg)_Polynomial,WS (m/s)_Lagrange,WS (m/s)_Newton,WS (m/s)_Linear Spline,WS (m/s)_Cubic Spline,WS (m/s)_Polynomial,MP-Xylene (µg/m³)_Lagrange,MP-Xylene (µg/m³)_Newton,MP-Xylene (µg/m³)_Linear Spline,MP-Xylene (µg/m³)_Cubic Spline,MP-Xylene (µg/m³)_Polynomial
dataset_1,-60.9845947437825,-60.9845947437825,0.6992713004484306,0.1905828954043235,0.008763498435168882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_2,-11.866766551645442,-11.866766551645439,-6.133064516129034,-8.647344093546243,0.23131355704208678,0.7765821643059582,0.776582164305958,0.6724266992864045,0.7716237548258422,0.4282868723777532,0.41167723375793186,0.41167723375793186,0.5688270547178095,0.511713318959497,0.21427033738855472,0.40432972906539844,0.4043297290653979,0.6488829438704566,0.5491509730316984,-0.10635549525407861,0.18315982394784303,0.1831598239478428,0.3505323114182347,0.28515094717473344,0.002944592848216576,0.501683037357006,0.5016830373570059,0.8018281147881164,0.7513015052988666,0.2004901248384079,0.3547163113518622,0.35471631135186177,0.6311784068069519,0.5633087092620546,0.1191165202228035,0.4737635913152768,0.47376359131527734,0.7923792902040958,0.6673845368191944,0.014351240806873,0.40479974099745974,0.40479974099745986,0.8574982768085048,0.7232401920338575,0.34578380955634824,0.7967483389514757,0.7967483389514758,0.9315639472357113,0.8790939206023111,0.5976427587345639,-1.7818483418571627,-1.7818483418571627,0.18325333578647773,-0.7887108795993563,-0.19670368953173112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_3,-4.910770286991075,-4.910770286991078,-0.3259492167081153,-0.9447498066424169,0.07062412063730583,-0.39821091637397443,-0.39821091637397465,0.5459171158821077,0.13826083683190893,0.6354782651801117,-1.303535314543368,-1.3035353145433688,0.21389734073812638,-0.4830502663900862,0.1731663136231717,,,,,,,,,,,,,,,,,,,,,,,,,,0.3775601137945377,0.3775601137945377,0.7043088803413351,0.639919215569787,0.14287592976028707,,,,,,-1.1671948929495999,-1.1671948929495994,0.4659332789226688,0.2241176845920142,0.18250219700005899,0.5668508709926265,0.5668508709926268,0.8670365839191195,0.8517093460759074,0.743683317594203,-0.09000166449734848,-0.0900016644973487,0.622302965160802,0.31304764943304964,0.5876796444728838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_5,-3.660284483779133,-3.660284483779132,0.3912188713885838,-0.060748968708510986,-0.04392078171106495,,,,,,-4.418657457468928,-4.418657457468933,-0.8969379712789423,-0.7923063710769291,-0.1550300639279436,0.7781495959835142,0.7781495959835136,0.888968138810466,0.8601130008843579,0.424657948086796,0.0555263802316498,0.055526380231649575,0.215684990188186,0.24856638958630473,0.06944401737860761,0.7947236252455638,0.7947236252455641,0.873361150927913,0.9033166130874908,0.6400418919463342,0.5898221307534873,0.5898221307534874,0.6027646821896439,0.6740593600069711,0.3678227100483702,0.7837967867164743,0.7837967867164746,0.9331858657872915,0.91445768140159,0.6769097101382575,0.5000931389067629,0.5000931389067628,0.6194228865945708,0.5550719043155072,0.6251786558228876,0.7919576705546401,0.7919576705546398,0.8136211838520413,0.8118232491607902,0.7786640161878107,-4.155302999846489,-4.15530299984649,-0.26242941328337555,-0.905905912764938,0.3103641731709047,,,,,,,,,,,0.9612279767482846,0.9612279767482845,0.9514532096216836,0.9557022913210489,0.7688536368509165,-3.660284483779133,-3.660284483779132,0.3912188713885838,-0.060748968708510986,-0.04392078171106495,0.9562774757588267,0.9562774757588267,0.9668207949029709,0.9743541144421384,0.8563379207889819,0.12131409748790356,0.12131409748790345,0.3859308483004348,0.2490981172079424,0.22495384211357927,0.4923550369826267,0.49235503698262606,0.9120242540754683,0.8633276607793973,0.6318950633715295,0.19159293494400542,0.1915929349440052,0.7625473487318435,0.6476296143612763,0.4324162466904823,,,,,
dataset_6,-15.06828931765449,-15.068289317654493,-3.944096872964672,-8.264423677441073,0.08296714752651502,-186.350592584644,-186.35059258464403,-1.210288739286109,-15.02544039119979,-0.7890803684581005,0.09242688595900139,0.09242688595900139,0.5458209527282235,0.508433935392365,0.22404654952769854,-71.10360507104848,-71.10360507104843,-10.06443530930328,-27.363347649353003,-5.449544411386882,-16.29958340798095,-16.29958340798096,-2.747487483401495,-8.602384455795429,-1.9404029725412357,-13.678976981062071,-13.678976981062085,-1.6627910317809613,-5.426295553566891,-11.719648569183859,-455.7942902641112,-455.79429026411134,-7.937671078702978,-54.02089632406685,-3.705683637504337,0.9207509393331202,0.9207509393331199,0.995980317323346,0.9868514980735895,0.7052515618140234,-0.5725985629818129,-0.5725985629818122,0.4052765674876041,0.08701694426393392,0.5465342923798977,-0.003408896344194501,-0.0034088963441942788,0.44638055529341314,0.15082355253288682,0.340830235345953,,,,,,-0.13265257399021713,-0.13265257399021735,0.9095028170839554,0.762897677214246,0.04084332425870307,,,,,,,,,,,-11.716626986399866,-11.716626986399866,-3.104130687687416,-6.636011090386778,0.10801396973986666,,,,,,-0.42920068477450357,-0.42920068477450357,0.6305644396251305,0.34598305468631496,0.5470615986984481,-1.354028562560896,-1.354028562560896,0.49863058040932884,0.5007152495428779,0.22752398334618684,-0.790441388393909,-0.7904413883939085,0.17502722662056858,0.09618173685502618,0.05156339634590601,0.6602893844948496,0.6602893844948492,0.8228061950163981,0.7567510409795073,0.40166372916667614
dataset_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_9,-0.16302047427709376,-0.16302047427709376,-0.17519783727017968,-0.17556066673990678,0.009669312805082209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_10,-2.9261392704413587,-2.9261392704413587,-0.2831781489769827,-1.8335766370078446,0.17895465564190127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
