,TOT-RF (mm)_Lagrange,TOT-RF (mm)_Newton,TOT-RF (mm)_Linear Spline,TOT-RF (mm)_Cubic Spline,TOT-RF (mm)_Polynomial,Benzene (µg/m³)_Lagrange,Benzene (µg/m³)_Newton,Benzene (µg/m³)_Linear Spline,Benzene (µg/m³)_Cubic Spline,Benzene (µg/m³)_Polynomial,CO (mg/m³)_Lagrange,CO (mg/m³)_Newton,CO (mg/m³)_Linear Spline,CO (mg/m³)_Cubic Spline,CO (mg/m³)_Polynomial,NH3 (µg/m³)_Lagrange,NH3 (µg/m³)_Newton,NH3 (µg/m³)_Linear Spline,NH3 (µg/m³)_Cubic Spline,NH3 (µg/m³)_Polynomial,NO (µg/m³)_Lagrange,NO (µg/m³)_Newton,NO (µg/m³)_Linear Spline,NO (µg/m³)_Cubic Spline,NO (µg/m³)_Polynomial,NO2 (µg/m³)_Lagrange,NO2 (µg/m³)_Newton,NO2 (µg/m³)_Linear Spline,NO2 (µg/m³)_Cubic Spline,NO2 (µg/m³)_Polynomial,NOx (ppb)_Lagrange,NOx (ppb)_Newton,NOx (ppb)_Linear Spline,NOx (ppb)_Cubic Spline,NOx (ppb)_Polynomial,Ozone (µg/m³)_Lagrange,Ozone (µg/m³)_Newton,Ozone (µg/m³)_Linear Spline,Ozone (µg/m³)_Cubic Spline,Ozone (µg/m³)_Polynomial,PM10 (µg/m³)_Lagrange,PM10 (µg/m³)_Newton,PM10 (µg/m³)_Linear Spline,PM10 (µg/m³)_Cubic Spline,PM10 (µg/m³)_Polynomial,PM2.5 (µg/m³)_Lagrange,PM2.5 (µg/m³)_Newton,PM2.5 (µg/m³)_Linear Spline,PM2.5 (µg/m³)_Cubic Spline,PM2.5 (µg/m³)_Polynomial,SO2 (µg/m³)_Lagrange,SO2 (µg/m³)_Newton,SO2 (µg/m³)_Linear Spline,SO2 (µg/m³)_Cubic Spline,SO2 (µg/m³)_Polynomial,Toluene (µg/m³)_Lagrange,Toluene (µg/m³)_Newton,Toluene (µg/m³)_Linear Spline,Toluene (µg/m³)_Cubic Spline,Toluene (µg/m³)_Polynomial,Xylene (µg/m³)_Lagrange,Xylene (µg/m³)_Newton,Xylene (µg/m³)_Linear Spline,Xylene (µg/m³)_Cubic Spline,Xylene (µg/m³)_Polynomial,AT (°C)_Lagrange,AT (°C)_Newton,AT (°C)_Linear Spline,AT (°C)_Cubic Spline,AT (°C)_Polynomial,RF (mm)_Lagrange,RF (mm)_Newton,RF (mm)_Linear Spline,RF (mm)_Cubic Spline,RF (mm)_Polynomial,RH (%)_Lagrange,RH (%)_Newton,RH (%)_Linear Spline,RH (%)_Cubic Spline,RH (%)_Polynomial,SR (W/mt2)_Lagrange,SR (W/mt2)_Newton,SR (W/mt2)_Linear Spline,SR (W/mt2)_Cubic Spline,SR (W/mt2)_Polynomial,WD (deg)_Lagrange,WD (deg)_Newton,WD (deg)_Linear Spline,WD (deg)_Cubic Spline,WD (deg)_Polynomial,WS (m/s)_Lagrange,WS (m/s)_Newton,WS (m/s)_Linear Spline,WS (m/s)_Cubic Spline,WS (m/s)_Polynomial,MP-Xylene (µg/m³)_Lagrange,MP-Xylene (µg/m³)_Newton,MP-Xylene (µg/m³)_Linear Spline,MP-Xylene (µg/m³)_Cubic Spline,MP-Xylene (µg/m³)_Polynomial
dataset_1,0.5773202947248467,0.5773202947248467,0.04021262090937662,0.06597222484006499,0.07300684566603925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_2,0.29460702911207143,0.2946070291120714,0.21935446042956325,0.25510106887678513,0.07200837405804304,1.7334314429806275,1.7334314429806283,2.0989495411384262,1.7525612862541515,2.7729167562222226,0.24992196759360838,0.24992196759360838,0.2139549581989888,0.22768480243461658,0.2888239335710821,8.646401155688375,8.646401155688379,6.638323023704845,7.522253873117405,11.783648165176599,11.517817702258435,11.517817702258435,10.270236159226503,10.77479034332923,12.725102870277633,12.127179592433244,12.127179592433244,7.6476498280661565,8.56729166061095,15.360978804450912,20.488138611598686,20.488138611598693,15.489426201191108,16.854443801413,23.93791897632245,9.018950054833267,9.018950054833262,5.665012486755505,7.1702905383589775,12.343167584964451,27.702916197412044,27.702916197412044,13.555139472918315,18.890586544948942,29.04387616574755,10.68892464275589,10.688924642755888,6.202395270226059,8.244057891842912,15.039135574920568,3.8976684488912716,3.8976684488912716,2.111941349651504,3.125418963349265,2.556415744450834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_3,0.2978930527306209,0.29789305273062094,0.1410918018586627,0.1708717245910474,0.11812288150216639,1.2996168178624001,1.2996168178624004,0.7406218910082345,1.0202741745454884,0.6635760344188266,0.447445051827018,0.4474450518270181,0.261385748614082,0.3590212940890142,0.2680719376211193,,,,,,,,,,,,,,,,,,,,,,,,,,67.8782925267237,67.8782925267237,46.784430011223776,51.62762832390907,79.65335032209772,,,,,,7.440628503000099,7.440628503000098,3.6936725823486123,4.4520349376061255,4.569870931813711,3.32862937689555,3.328629376895549,1.8442203130912507,1.9476172354154662,2.560561172031574,2.9031294115848536,2.903129411584854,1.7089312942837624,2.3047091286935735,1.785542545410219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_5,0.16501925809203435,0.16501925809203433,0.059642934983840205,0.07872899815851361,0.07810200581361536,,,,,,0.7553914227219057,0.7553914227219061,0.4469436437512621,0.43444252043639364,0.3487569288135804,2.361347506086935,2.361347506086938,1.670527396246226,1.8750742479240188,3.8027068883744812,8.173019779215243,8.173019779215243,7.447883882654314,7.290090875884207,8.112578023343666,6.787146448720975,6.787146448720972,5.330908311828179,4.657937570217823,8.987599591011389,8.3180448677808,8.318044867780799,8.185761245281403,7.414884717567393,10.326534289556639,6.617254114803189,6.617254114803186,3.678585995103505,4.162337093005668,8.08925811947293,24.572447636438117,24.572447636438124,21.44002085476769,23.181887024388242,21.277275969043867,10.453341461131615,10.453341461131618,9.894128749742194,9.941736901333856,10.782148169840848,8.144163037039714,8.144163037039714,4.030165802850726,4.951879751353131,2.9787171704814623,,,,,,,,,,,0.8542951025598801,0.8542951025598814,0.9559362825236896,0.9131440965845553,2.0858939129342504,0.16501925809203435,0.16501925809203433,0.059642934983840205,0.07872899815851361,0.07810200581361536,4.544758198306705,4.544758198306707,3.959051550086864,3.4807034050852965,8.238141400394365,22.667538854369063,22.667538854369067,18.949431263516278,20.95458847092594,21.288806929123172,46.30927754722086,46.30927754722089,19.278331504905367,24.02858954815848,39.43426821499774,0.35049388090766925,0.35049388090766925,0.1899563874124109,0.23140092514325336,0.2936840549045441,,,,,
dataset_6,0.4694038769282692,0.4694038769282692,0.2603786294059883,0.3564273771327119,0.11213838522549374,1.2939833897934996,1.2939833897934996,0.14054832413666324,0.37844794606589327,0.12644920147392982,0.3887608374618014,0.3887608374618014,0.27501428036763886,0.2861097414431365,0.3594674181701698,5.571180811729749,5.571180811729748,2.182395165638851,3.4941979778709644,1.6662236052791075,0.9524108776340152,0.9524108776340157,0.4432784513605564,0.7095713459984709,0.39265393215926386,3.6612260890800234,3.6612260890800252,1.5593628967235817,2.422473313050012,3.4081304526073493,8.494079216157155,8.494079216157157,1.1881414782818556,2.9479479014914642,0.8621192385553593,2.4801389158600937,2.480138915860099,0.5585664292979824,1.0102226056584367,4.783047585022401,95.39755681542026,95.39755681542024,58.665913864194366,72.68749024736978,51.227190734398604,48.87466790509502,48.87466790509502,36.30366855532252,44.961813095798696,39.61352458217689,,,,,,1.7504379901671747,1.750437990167175,0.49478429062862705,0.8008778389862387,1.6108056680984546,,,,,,,,,,,0.5788329526867918,0.5788329526867918,0.3288348757034862,0.4485393572286647,0.153301465836019,,,,,,56.087566942770195,56.087566942770195,28.51604828124935,37.941499736740006,31.574724109950985,59.5880552857588,59.58805528575879,27.499973073828674,27.44274175983749,34.134681136316594,0.3017481203545951,0.30174812035459503,0.20482564307552575,0.21439027213504366,0.21961837435241877,3.339498538882083,3.3394985388820846,2.4118537289731496,2.8258700975000566,4.43199604181034
dataset_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_9,0.15471652032557828,0.15471652032557828,0.1555243879558513,0.15554839432935216,0.1427687402582398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_10,0.1872077595112806,0.1872077595112806,0.10702481181869737,0.1590407725576233,0.0856100137022187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
