Dataset,Parameter,RMSE
dataset_1,TOT-RF (mm),0.07300684566603925
dataset_2,Benzene (µg/m³),2.7729167562222226
dataset_2,CO (mg/m³),0.2888239335710821
dataset_2,NH3 (µg/m³),11.783648165176599
dataset_2,NO (µg/m³),12.725102870277633
dataset_2,NO2 (µg/m³),15.360978804450912
dataset_2,NOx (ppb),23.93791897632245
dataset_2,Ozone (µg/m³),12.343167584964451
dataset_2,PM10 (µg/m³),29.04387616574755
dataset_2,PM2.5 (µg/m³),15.039135574920568
dataset_2,SO2 (µg/m³),2.556415744450834
dataset_2,TOT-RF (mm),0.07200837405804304
dataset_3,Benzene (µg/m³),0.6635760344188266
dataset_3,CO (mg/m³),0.2680719376211193
dataset_3,PM10 (µg/m³),79.65335032209772
dataset_3,SO2 (µg/m³),4.569870931813711
dataset_3,TOT-RF (mm),0.11812288150216639
dataset_3,Toluene (µg/m³),2.560561172031574
dataset_3,Xylene (µg/m³),1.785542545410219
dataset_4,TOT-RF (mm),0.0
dataset_5,AT (°C),2.0858939129342504
dataset_5,CO (mg/m³),0.3487569288135804
dataset_5,NH3 (µg/m³),3.8027068883744812
dataset_5,NO (µg/m³),8.112578023343666
dataset_5,NO2 (µg/m³),8.987599591011389
dataset_5,NOx (ppb),10.326534289556639
dataset_5,Ozone (µg/m³),8.08925811947293
dataset_5,PM10 (µg/m³),21.277275969043867
dataset_5,PM2.5 (µg/m³),10.782148169840848
dataset_5,RF (mm),0.07810200581361536
dataset_5,RH (%),8.238141400394365
dataset_5,SO2 (µg/m³),2.9787171704814623
dataset_5,SR (W/mt2),21.288806929123172
dataset_5,TOT-RF (mm),0.07810200581361536
dataset_5,WD (deg),39.43426821499774
dataset_5,WS (m/s),0.2936840549045441
dataset_6,Benzene (µg/m³),0.12644920147392982
dataset_6,CO (mg/m³),0.3594674181701698
dataset_6,MP-Xylene (µg/m³),4.43199604181034
dataset_6,NH3 (µg/m³),1.6662236052791075
dataset_6,NO (µg/m³),0.39265393215926386
dataset_6,NO2 (µg/m³),3.4081304526073493
dataset_6,NOx (ppb),0.8621192385553593
dataset_6,Ozone (µg/m³),4.783047585022401
dataset_6,PM10 (µg/m³),51.227190734398604
dataset_6,PM2.5 (µg/m³),39.61352458217689
dataset_6,RF (mm),0.153301465836019
dataset_6,SR (W/mt2),31.574724109950985
dataset_6,TOT-RF (mm),0.11213838522549374
dataset_6,Toluene (µg/m³),1.6108056680984546
dataset_6,WD (deg),34.134681136316594
dataset_6,WS (m/s),0.21961837435241877
dataset_9,TOT-RF (mm),0.1427687402582398
dataset_10,TOT-RF (mm),0.0856100137022187
dataset_11,TOT-RF (mm),0.003899137864188097
dataset_12,TOT-RF (mm),0.058432476527193286
dataset_13,TOT-RF (mm),0.17467894792947317
