Dataset,Method,RMSE
dataset_1,Lagrange,0.5773202947248467
dataset_1,Newton,0.5773202947248467
dataset_1,Linear Spline,0.04021262090937662
dataset_1,Cubic Spline,0.06597222484006499
dataset_1,Polynomial,0.07300684566603925
dataset_2,Lagrange,0.29460702911207143
dataset_2,Newton,0.2946070291120714
dataset_2,Linear Spline,0.21935446042956325
dataset_2,Cubic Spline,0.25510106887678513
dataset_2,Polynomial,0.07200837405804304
dataset_3,Lagrange,0.2978930527306209
dataset_3,Newton,0.29789305273062094
dataset_3,Linear Spline,0.1410918018586627
dataset_3,Cubic Spline,0.1708717245910474
dataset_3,Polynomial,0.11812288150216639
dataset_4,Lagrange,0.0
dataset_4,Newton,0.0
dataset_4,Linear Spline,0.0
dataset_4,Cubic Spline,0.0
dataset_4,Polynomial,0.0
dataset_5,Lagrange,0.16501925809203435
dataset_5,Newton,0.16501925809203433
dataset_5,Linear Spline,0.059642934983840205
dataset_5,Cubic Spline,0.07872899815851361
dataset_5,Polynomial,0.07810200581361536
dataset_6,Lagrange,0.4694038769282692
dataset_6,Newton,0.4694038769282692
dataset_6,Linear Spline,0.2603786294059883
dataset_6,Cubic Spline,0.3564273771327119
dataset_6,Polynomial,0.11213838522549374
dataset_9,Lagrange,0.15471652032557828
dataset_9,Newton,0.15471652032557828
dataset_9,Linear Spline,0.1555243879558513
dataset_9,Cubic Spline,0.15554839432935216
dataset_9,Polynomial,0.1427687402582398
dataset_10,Lagrange,0.1872077595112806
dataset_10,Newton,0.1872077595112806
dataset_10,Linear Spline,0.10702481181869737
dataset_10,Cubic Spline,0.1590407725576233
dataset_10,Polynomial,0.0856100137022187
dataset_11,Lagrange,0.012181668266839358
dataset_11,Newton,0.012181668266839354
dataset_11,Linear Spline,0.012998673672393633
dataset_11,Cubic Spline,0.012638418468843967
dataset_11,Polynomial,0.003899137864188097
dataset_12,Lagrange,0.1746611989810548
dataset_12,Newton,0.17466119898105478
dataset_12,Linear Spline,0.1757398155189105
dataset_12,Cubic Spline,0.2182107911881078
dataset_12,Polynomial,0.058432476527193286
dataset_13,Lagrange,0.25993339076162514
dataset_13,Newton,0.25993339076162514
dataset_13,Linear Spline,0.10006032663107413
dataset_13,Cubic Spline,0.08744895778685582
dataset_13,Polynomial,0.17467894792947317
