Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
2024-01-01,122.91,222.37,1.62,25.95,14.41,55.102587962071084,35.12,0.85,94.11,5.61,27.84,1.56,3.31,29.81,60.49,1.1704366127978154,97.87227544939508,116.46
2024-01-02,136.55,234.0,2.01,26.06,14.77,36.33,31.33,0.97,89.16,4.168094933542072,26.73,1.79,3.46,28.799537896704823,65.67,1.17,201.57,105.19
2024-01-03,105.21,186.8940506835612,1.81,25.49,14.32,35.85,29.13,1.06,78.00471830264374,5.2,28.03,2.05,3.33,28.43,66.86,1.06,228.85,101.62
2024-01-04,94.6,146.83,4.63,34.95,21.53,39.53,24.36,1.087114423296188,66.43,6.32,29.25,2.7,4.37,28.38,68.23,1.08,212.48,124.64
2024-01-05,94.05,159.33,4.19,31.91,19.59,38.29,22.69,1.12,59.17,7.1,32.8,3.06,4.56477117819264,27.76,69.8,0.96,187.23,131.9
2024-01-06,98.60662297311545,182.67,5.47,33.61,21.47,39.17,25.05,0.87,57.57535781334626,6.440294881876044,34.38511262508301,2.39,4.2,28.29,63.26,0.95,183.7637047034283,117.77
2024-01-07,92.66,161.72,4.1,34.81,21.0,39.34,29.67,0.99,61.74,5.73,29.31,1.92,3.97,29.46,63.79,0.97,188.81,123.77245668670278
2024-01-08,77.12,141.38,8.28,31.55,22.24,43.97785335088862,24.32,0.85,67.13,5.463475220390739,19.64,1.67,3.02,30.81,57.07,1.06,184.7,123.58
2024-01-09,96.65,120.69744175119153,4.89,40.7,24.54,44.41,11.43,0.94,59.54900802059941,5.323552257867238,24.32,2.8908190968320504,4.78,30.36,66.27,0.89,179.82795244402706,93.06
2024-01-10,83.28741176605145,114.67,1.93,32.1,17.3,35.45,16.04,0.4,56.71,5.12,34.49740778247144,3.88,5.9,30.46,62.59,0.915606642129789,190.29,84.38
2024-01-11,58.36,132.0,2.09,29.25,15.95,35.06,14.93,0.55,70.72,4.808749655964311,38.15,3.12,5.42,30.98,57.61265361068414,0.94,213.37,106.44274892813615
2024-01-12,60.36,142.53,6.48,32.0,20.85,37.04,13.72,0.57,72.78,5.63,33.95,2.58,4.69,31.86,58.22,0.9504463814521408,207.42,125.4
2024-01-13,64.35,163.9,6.78,37.47,26.348951544187653,42.33,14.931465911418151,0.58,74.3,7.27,40.23,4.58,7.26,31.09,59.02,0.93,206.96,122.66
2024-01-14,41.81,138.4397766893469,12.69,36.62,28.28,44.64,14.08,0.4636947935699733,48.29,4.68,27.79,3.866213069267808,4.89,31.4,44.35,0.95,151.51,140.62
2024-01-15,37.18,106.33,10.099651889312788,35.53,23.98743569629587,47.04,11.22,0.34,50.83,3.57,27.72,1.7,3.3573323071700325,28.93,42.51,0.94,171.64,146.05
2024-01-16,50.35,111.4,3.22,29.917777262241636,17.42,50.48,17.527812012135502,0.4444783925989243,87.56,3.92,31.41,0.8518528651686844,3.04,26.73,51.49,1.28,197.09,138.55
2024-01-17,59.3,108.25,1.2,26.4,13.75,49.05,23.83,0.43,94.86,3.99,30.4,1.22,2.56,26.53,57.91,1.0,199.76,133.66
