Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
2024-01-01,122.91,222.37,1.62,25.95,14.41,1.1637038154332825e+77,35.12,0.85,94.11,5.61,27.84,1.56,3.31,29.81,60.49,2.415647019269494e+75,2.1294359770931753e+76,116.46
2024-01-02,136.55,234.0,2.01,26.06,14.77,36.33,31.33,0.97,89.16,1.0050413294202136e+77,26.73,1.79,3.46,2.560268844912846e+71,65.67,1.17,201.57,105.19
2024-01-03,105.21,1.7282486094576083e+75,1.81,25.49,14.32,35.85,29.13,1.06,3.023235202029094e+81,5.2,28.03,2.05,3.33,28.43,66.86,1.06,228.85,101.62
2024-01-04,94.6,146.83,4.63,34.95,21.53,39.53,24.36,-7.817260516191478e+70,66.43,6.32,29.25,2.7,4.37,28.38,68.23,1.08,212.48,124.64
2024-01-05,94.05,159.33,4.19,31.91,19.59,38.29,22.69,1.12,59.17,7.1,32.8,3.06,3.3321269951095645e+60,27.76,69.8,0.96,187.23,131.9
2024-01-06,2.35856936036448e+68,182.67,5.47,33.61,21.47,39.17,25.05,0.87,9.700880438652955e+76,-8.404136373745448e+70,-4.336141232401792e+67,2.39,4.2,28.29,63.26,0.95,2.1190493365117103e+67,117.77
2024-01-07,92.66,161.72,4.1,34.81,21.0,39.34,29.67,0.99,61.74,5.73,29.31,1.92,3.97,29.46,63.79,0.97,188.81,-5.360912624446999e+68
2024-01-08,77.12,141.38,8.28,31.55,22.24,1.6295984170097021e+65,24.32,0.85,67.13,2.936333498853034e+68,19.64,1.67,3.02,30.81,57.07,1.06,184.7,123.58
2024-01-09,96.65,-1.2187397959872216e+66,4.89,40.7,24.54,44.41,11.43,0.94,5.819642419857317e+72,1.022415795625544e+67,24.32,6.458545034358686e+60,4.78,30.36,66.27,0.89,6.609625088721461e+62,93.06
2024-01-10,-4.869120995439723e+62,114.67,1.93,32.1,17.3,35.45,16.04,0.4,56.71,5.12,1.3808283335202625e+62,3.88,5.9,30.46,62.59,8.534549532316438e+60,190.29,84.38
2024-01-11,58.36,132.0,2.09,29.25,15.95,35.06,14.93,0.55,70.72,-3.823500580117129e+63,38.15,3.12,5.42,30.98,1.6379039687565487e+61,0.94,213.37,2.2734159275185746e+63
2024-01-12,60.36,142.53,6.48,32.0,20.85,37.04,13.72,0.57,72.78,5.63,33.95,2.58,4.69,31.86,58.22,-2.1530942494604842e+58,207.42,125.4
2024-01-13,64.35,163.9,6.78,37.47,-5.612737967372786e+55,42.33,4.1620962663258885e+55,0.58,74.3,7.27,40.23,4.58,7.26,31.09,59.02,0.93,206.96,122.66
2024-01-14,41.81,-4.527790101923336e+59,12.69,36.62,28.28,44.64,14.08,2.674937277526761e+58,48.29,4.68,27.79,2.692838197476502e+55,4.89,31.4,44.35,0.95,151.51,140.62
2024-01-15,37.18,106.33,-6.568284272315851e+55,35.53,3.4278823538950903e+53,47.04,11.22,0.34,50.83,3.57,27.72,1.7,2.522895076344017e+47,28.93,42.51,0.94,171.64,146.05
2024-01-16,50.35,111.4,3.22,-2.691877938068814e+53,17.42,50.48,3.2816192099434606e+52,-2.5270615235388474e+56,87.56,3.92,31.41,-1.9172099089615648e+53,3.04,26.73,51.49,1.28,197.09,138.55
2024-01-17,59.3,108.25,1.2,26.4,13.75,49.05,23.83,0.43,94.86,3.99,30.4,1.22,2.56,26.53,57.91,1.0,199.76,133.66
2024-01-18,61.98,118.81,-8.046859534892645e+52,30.74,16.76,-5.4097971610636136e+54,22.0,0.43,2.7097040645363156e+63,5.11,-4.3921391382914687e+52,1.74,3.31,26.3,6.247029879249663e+53,1.01,1.6069205842941283e+51,129.36
2024-01-19,70.26,142.86,1.61,33.11,17.59,-7.87585077934858e+53,1.3325552500060443e+49,0.54,3.9393594797603827e+62,6.03,33.12,2.23,4.01,26.7,60.46,1.0,220.59,137.91
2024-01-20,69.43,153.44,1.48,33.06,17.46,50.52,25.79,1.0804199942361159e+52,83.81,6.12,35.78,5.2164148052917655e+48,2.4388490704755822e+42,26.99,56.69,1.02,195.83,125.83
2024-01-21,46.68,138.48,8.2,36.05,23.67,3.590072582269843e+51,22.52,0.58,61.56,5.78,34.39,2.05,5.1,28.13,38.26,1.06,178.73,149.23
2024-01-22,70.06,156.63,9.404232171100522e+48,1.0548374742600269e+48,19.51,50.04,28.06,0.51,4.735220080503188e+59,6.98,34.6,2.47,6.77,28.06,38.98,1.0,211.67,1.3766805323309039e+51
2024-01-23,41.74,93.56,3.73,24.68,-9.319918952190539e+44,47.58,19.72,0.39,3.6733496416574716e+58,3.14,34.73,1.23,2.46,28.19,1.0899263893092816e+49,1.36,164.88,161.69
2024-01-24,47.61,112.46,-6.625032864669895e+46,-1.2970275450814653e+46,17.43,8.953867447077532e+47,20.87,0.42,59.37,4.91,37.34,2.05,3.7,-8.577465364233145e+43,29.6,4.815366755072996e+44,185.86,152.5
2024-01-25,39.69,104.76,1.44,29.53,15.58,50.64,20.72,0.27,68.55,3.35,35.53,2.477827461724275e+43,3.74,28.18,27.57,1.19,189.86,151.94
2024-01-26,72.3,158.18,2.38,35.39,19.4,53.45,31.28,0.48,71.12,6.98,42.47,2.84,-2.775904954438511e+36,29.06,32.51,1.31,146.19,145.57
2024-01-27,53.61,117.92,1.96,28.57,15.49,47.65,25.17,0.4,72.17,3.0896848281774902e+44,33.49,1.64,3.18,30.41,29.0,1.18,160.05,142.6
2024-01-28,53.68,6.904975815507076e+45,3.33,33.68,-1.6078890710281994e+40,48.32,29.36,-2.053251708259115e+45,63.39,5.07,37.47,2.35,4.62,30.19,27.2,1.07,166.43,146.99
2024-01-29,64.95,126.96,2.66,34.24,19.0,50.19,38.34,-3.6346138497803915e+44,62.2,5.47,-6.606719100113399e+42,2.74,4.48,29.92,27.28,1.14,156.21,9.785648470858422e+44
2024-01-30,68.81,-1.2760515797828178e+44,2.52,37.48,20.6,49.35,2.863159075285703e+38,0.44,1.7784538826119407e+51,6.17,40.99,3.41,6.07,6.32806946863883e+39,38.94,1.03,201.98,142.45
2024-01-31,58.49,122.5,6.24,32.91,21.2,52.56,27.63,2.1365760703115735e+42,53.64,5.29,1.4412145529752802e+41,3.6,6.36,1.1717459146650709e+39,-2.075956365957492e+42,1.04,172.26,153.36
2024-02-01,41.8,95.12,3.97,24.87,15.18,49.19,21.11,0.31,34.21,4.05,31.84,2.09,4.3,27.59,50.21,1.04,210.26,159.16
2024-02-02,32.64,82.32,4.96,25.06,16.07,59.44,22.14,0.29,44.48,3.12,33.84,-5.992826178935731e+35,3.93,-7.123304545004595e+36,48.69,1.17,1.364491464699376e+37,-3.579237515109543e+41
2024-02-03,3.766322696659182e+39,131.84,1.43,27.89,14.72,51.46,-1.1529333711176038e+35,0.43,65.65,4.36,26.53,1.83,3.41,30.67,40.77,-1.177268192281783e+36,166.95,186.94
2024-02-04,79.22,179.07,2.41,43.76,23.8,50.53,36.98,0.55,2.7322692669058014e+47,8.5,34.13,3.39,7.19,31.67,37.02,1.03,157.05,161.88
2024-02-05,61.62,144.1,3.17,30.81,17.64,50.78,32.04,0.41,62.2,4.82,35.87,2.48,4.98,31.18,36.04,1.23,163.34,152.8
2024-02-06,51.22,121.49,-2.6299141786579634e+34,30.33,18.56,49.63,30.14,0.45,-8.770455286551329e+45,4.65,28.23,2.61,4.74,30.7,1.5402232436080625e+38,1.18,155.76,165.66
2024-02-07,53.36,132.74,2.4,24.07,13.5,54.12,25.12,0.4,73.03,2.49,18.39,0.99,1.94,30.31,46.17,1.51,157.5,166.73
2024-02-08,46.17,120.38,1.25,22.32,11.66,51.41,12.31,0.47,1.0240405980736814e+44,2.5,1.19,1.5,1.89,30.26,39.55,1.32,151.47,171.63
2024-02-09,54.48,130.5,4.27,37.79,22.42,53.36,12.31,1.0801872771794524e+34,76.19,4.434588538601757e+34,6.29,1.53,2.16,29.44,1.48036620730473e+36,1.33,146.76,161.08
