Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
2024-01-01,122.91,222.37,1.62,25.95,14.41,-2.5828555101986567e+58,35.12,0.85,94.11,5.61,27.84,1.56,3.31,29.81,60.49,-2.1546012567754857e+58,-5.456918348124238e+59,116.46
2024-01-02,136.55,234.0,2.01,26.06,14.77,36.33,31.33,0.97,89.16,5.401344772542826e+58,26.73,1.79,3.46,-3.744168995028868e+55,65.67,1.17,201.57,105.19
2024-01-03,105.21,-1.7382049998124888e+57,1.81,25.49,14.32,35.85,29.13,1.06,7.112907161261368e+64,5.2,28.03,2.05,3.33,28.43,66.86,1.06,228.85,101.62
2024-01-04,94.6,146.83,4.63,34.95,21.53,39.53,24.36,-1.5499682945456894e+53,66.43,6.32,29.25,2.7,4.37,28.38,68.23,1.08,212.48,124.64
2024-01-05,94.05,159.33,4.19,31.91,19.59,38.29,22.69,1.12,59.17,7.1,32.8,3.06,-9.201018315628241e+47,27.76,69.8,0.96,187.23,131.9
2024-01-06,-4.3098276730314646e+48,182.67,5.47,33.61,21.47,39.17,25.05,0.87,4.329731025541609e+60,-1.135167043816917e+53,-2.785089075222374e+47,2.39,4.2,28.29,63.26,0.95,-1.6814061858608142e+51,117.77
2024-01-07,92.66,161.72,4.1,34.81,21.0,39.34,29.67,0.99,61.74,5.73,29.31,1.92,3.97,29.46,63.79,0.97,188.81,3.315168482754741e+50
2024-01-08,77.12,141.38,8.28,31.55,22.24,-1.8445316426004726e+47,24.32,0.85,67.13,6.325581850466832e+50,19.64,1.67,3.02,30.81,57.07,1.06,184.7,123.58
2024-01-09,96.65,4.6619647757444864e+48,4.89,40.7,24.54,44.41,11.43,0.94,4.9651170341254935e+56,2.785818222815164e+49,24.32,8.898141081687409e+43,4.78,30.36,66.27,0.89,-1.0450198511107683e+47,93.06
2024-01-10,2.2281068859302445e+43,114.67,1.93,32.1,17.3,35.45,16.04,0.4,56.71,5.12,2.424134458781067e+42,3.88,5.9,30.46,62.59,-5.93844601912833e+44,190.29,84.38
2024-01-11,58.36,132.0,2.09,29.25,15.95,35.06,14.93,0.55,70.72,-1.6718626989832592e+46,38.15,3.12,5.42,30.98,-5.517736439807387e+47,0.94,213.37,-3.440797552104989e+45
2024-01-12,60.36,142.53,6.48,32.0,20.85,37.04,13.72,0.57,72.78,5.63,33.95,2.58,4.69,31.86,58.22,2.390239829039589e+42,207.42,125.4
2024-01-13,64.35,163.9,6.78,37.47,-6.251341714954413e+41,42.33,-4.4705841229655046e+41,0.58,74.3,7.27,40.23,4.58,7.26,31.09,59.02,0.93,206.96,122.66
2024-01-14,41.81,5.407699761696248e+42,12.69,36.62,28.28,44.64,14.08,5.250429177176473e+41,48.29,4.68,27.79,1.1030903613015453e+39,4.89,31.4,44.35,0.95,151.51,140.62
2024-01-15,37.18,106.33,6.1852618335868984e+38,35.53,6.023857838392616e+39,47.04,11.22,0.34,50.83,3.57,27.72,1.7,7.415207456873573e+35,28.93,42.51,0.94,171.64,146.05
2024-01-16,50.35,111.4,3.22,-3.686455619865643e+36,17.42,50.48,-6.994501008455483e+38,-7.936072128987847e+39,87.56,3.92,31.41,-1.218865484772719e+37,3.04,26.73,51.49,1.28,197.09,138.55
2024-01-17,59.3,108.25,1.2,26.4,13.75,49.05,23.83,0.43,94.86,3.99,30.4,1.22,2.56,26.53,57.91,1.0,199.76,133.66
2024-01-18,61.98,118.81,1.5217109010533305e+36,30.74,16.76,6.847598144411428e+37,22.0,0.43,1.6934993290836132e+48,5.11,-6.07013496077075e+33,1.74,3.31,26.3,-1.0281764354529504e+41,1.01,-2.1204767774049594e+36,129.36
2024-01-19,70.26,142.86,1.61,33.11,17.59,1.2767378018293403e+37,-5.686092301766974e+35,0.54,3.0857843056507925e+47,6.03,33.12,2.23,4.01,26.7,60.46,1.0,220.59,137.91
2024-01-20,69.43,153.44,1.48,33.06,17.46,50.52,25.79,8.790572899149257e+35,83.81,6.12,35.78,8.031345858384766e+32,1.0456078184468492e+31,26.99,56.69,1.02,195.83,125.83
2024-01-21,46.68,138.48,8.2,36.05,23.67,-9.578090203990374e+34,22.52,0.58,61.56,5.78,34.39,2.05,5.1,28.13,38.26,1.06,178.73,149.23
2024-01-22,70.06,156.63,-4.562389464238959e+32,5.97001594630546e+31,19.51,50.04,28.06,0.51,7.344802638572192e+44,6.98,34.6,2.47,6.77,28.06,38.98,1.0,211.67,-2.6428625107757956e+34
2024-01-23,41.74,93.56,3.73,24.68,-1.0548412991561907e+32,47.58,19.72,0.39,7.168648448252039e+43,3.14,34.73,1.23,2.46,28.19,-5.739690963168151e+36,1.36,164.88,161.69
2024-01-24,47.61,112.46,5.175895356194451e+30,-1.1875017889029001e+30,17.43,-5.087647972852986e+31,20.87,0.42,59.37,4.91,37.34,2.05,3.7,2.2072630467628858e+30,29.6,-9.623962555303236e+29,185.86,152.5
2024-01-25,39.69,104.76,1.44,29.53,15.58,50.64,20.72,0.27,68.55,3.35,35.53,1.1614574301796216e+28,3.74,28.18,27.57,1.19,189.86,151.94
2024-01-26,72.3,158.18,2.38,35.39,19.4,53.45,31.28,0.48,71.12,6.98,42.47,2.84,-2.894139742258222e+25,29.06,32.51,1.31,146.19,145.57
2024-01-27,53.61,117.92,1.96,28.57,15.49,47.65,25.17,0.4,72.17,6.973036706497269e+28,33.49,1.64,3.18,30.41,29.0,1.18,160.05,142.6
2024-01-28,53.68,-2.2804362614835303e+30,3.33,33.68,-6.022784730664185e+27,48.32,29.36,-1.1789174613594788e+30,63.39,5.07,37.47,2.35,4.62,30.19,27.2,1.07,166.43,146.99
2024-01-29,64.95,126.96,2.66,34.24,19.0,50.19,38.34,-2.6772907796465195e+29,62.2,5.47,-1.7675852282177825e+25,2.74,4.48,29.92,27.28,1.14,156.21,-1.0088364976016438e+29
2024-01-30,68.81,6.886794480360929e+28,2.52,37.48,20.6,49.35,-1.6871334897748486e+26,0.44,1.7808744622207313e+37,6.17,40.99,3.41,6.07,-7.316770134204302e+26,38.94,1.03,201.98,142.45
2024-01-31,58.49,122.5,6.24,32.91,21.2,52.56,27.63,2.599009744613463e+27,53.64,5.29,6.723465540716107e+23,3.6,6.36,-1.7478145468394376e+26,7.429730614663248e+30,1.04,172.26,153.36
