Parameter,Method,MSE,RMSE,MAE,Number of Points
PM2.5 (µg/m³),Lagrange,8.16954857910254e+137,9.03855551462873e+68,1.5507088473958159e+68,37
PM2.5 (µg/m³),Newton,2.8145802463501054e+223,5.305261771439846e+111,8.886783492785387e+110,37
PM2.5 (µg/m³),Linear,80.62317867867866,8.979041077903512,6.1019819819819805,37
PM2.5 (µg/m³),Cubic,100.1478460670902,10.007389573065005,6.672710632552817,37
PM10 (µg/m³),Lagrange,8.072549340789613e+148,2.8412232120672274e+74,4.670942191254191e+73,37
PM10 (µg/m³),Newton,1.2331695307211465e+224,1.1104816660896057e+112,2.2005587721833312e+111,37
PM10 (µg/m³),Linear,213.6833749249249,14.617912810142387,10.553603603603603,37
PM10 (µg/m³),Cubic,267.9188741738281,16.368227581929208,11.804065647107366,37
NO (µg/m³),Lagrange,5.155027369027915e+146,2.270468535132763e+73,3.9955113401626725e+72,37
NO (µg/m³),Newton,3.945583517405806e+231,6.281387997414112e+115,1.259336215330959e+115,37
NO (µg/m³),Linear,5.474477627627629,2.3397601645526898,1.4810810810810815,37
NO (µg/m³),Cubic,8.023089079028257,2.8325057950564294,1.9514415412597512,37
NO2 (µg/m³),Lagrange,4.108313509825839e+113,6.409612710473105e+56,1.0604514709074032e+56,37
NO2 (µg/m³),Newton,8.059362333756846e+216,2.8389016069171624e+108,4.907961309671478e+107,37
NO2 (µg/m³),Linear,20.23259421921922,4.498065608594345,3.269594594594595,37
NO2 (µg/m³),Cubic,21.04173524058,4.587127122783933,3.5022354924795662,37
NOx (ppb),Lagrange,4.695939791066047e+120,2.167011719180597e+60,3.5625618041332483e+59,37
NOx (ppb),Newton,5.036344444555476e+225,7.096720682509265e+112,1.1668886869000105e+112,37
NOx (ppb),Linear,21.5352981981982,4.640613989355094,2.3013513513513506,37
NOx (ppb),Cubic,24.890682353658036,4.9890562588186995,2.7060708615782167,37
NH3 (µg/m³),Lagrange,3.6600177569026465e+152,1.9131172878061204e+76,3.145145447121433e+75,37
NH3 (µg/m³),Newton,7.37363366323536e+218,2.7154435481584515e+109,4.727653288946876e+108,37
NH3 (µg/m³),Linear,3.747332357357357,1.9358027681965322,1.4730180180180181,37
NH3 (µg/m³),Cubic,17.623275732863423,4.19800854368633,2.320339083734689,37
SO2 (µg/m³),Lagrange,4.471752270569392e+129,6.687116172588444e+64,1.0993551268793948e+64,37
SO2 (µg/m³),Newton,2.81565886095822e+231,5.3062782257983985e+115,8.723467666817248e+114,37
SO2 (µg/m³),Linear,4.530435885885885,2.1284820614432918,1.1078378378378382,37
SO2 (µg/m³),Cubic,6.371220795461141,2.524127729624858,1.3422803886186003,37
CO (mg/m³),Lagrange,1.6516097831911422e+140,1.2851497123647277e+70,2.1127753082699596e+69,37
CO (mg/m³),Newton,1.0947126817551363e+223,3.308644256723796e+111,5.439437387035878e+110,37
CO (mg/m³),Linear,0.012332207207207208,0.11105047144072468,0.07707207207207208,37
